% time spent exploring,episodes,mean 100 episode reward,mean 100 episode reward per step,steps
99,1,nan,nan,100
99,2,-660.1,-5.8418390054618365,200
99,5,-642.3,-13.099286401799294,300
99,8,-629.1,-17.820054371972457,400
99,10,-626.1,-18.89042766910867,500
98,13,-624.4,-17.879552241739752,600
98,14,-622.9,-18.862087042716215,700
98,17,-623.0,-17.619370733684207,800
98,18,-622.4,-17.530316620736205,900
98,20,-624.2,-16.817410947578196,1000
97,20,-624.2,-16.817410947578196,1100
97,23,-624.4,-16.615093575433363,1200
97,26,-623.2,-16.94727953559853,1300
97,28,-623.0,-16.97413064752863,1400
97,31,-621.9,-17.263901026197946,1500
96,33,-621.3,-17.361420522748805,1600
96,35,-621.7,-17.15970166793895,1700
96,36,-621.9,-16.874824090165628,1800
96,40,-620.9,-17.87444158453907,1900
96,43,-620.6,-18.086064953032754,2000
95,45,-620.5,-18.07538835857793,2100
95,46,-620.5,-18.026396608225962,2200
95,48,-621.3,-17.77214904301054,2300
95,49,-621.9,-17.56622554433279,2400
95,51,-621.5,-17.699496853901678,2500
94,55,-621.4,-18.018002231180258,2600
94,56,-621.8,-17.85487528658889,2700
94,57,-621.7,-17.791484709691655,2800
94,60,-621.6,-17.5760775217419,2900
94,62,-621.6,-17.426005385726587,3000
93,65,-621.3,-17.692070045260515,3100
93,66,-621.3,-17.718567392624582,3200
93,68,-621.8,-17.544176529043543,3300
93,68,-621.8,-17.544176529043543,3400
93,69,-623.0,-17.375660720613947,3500
92,70,-623.2,-17.25806164126547,3600
92,72,-623.9,-17.134924761138407,3700
92,73,-623.9,-17.090238382724944,3800
92,76,-623.8,-17.120132469018166,3900
92,76,-623.8,-17.120132469018166,4000
91,76,-623.8,-17.120132469018166,4100
91,77,-617.5,-16.75174928193711,4200
91,79,-617.6,-16.634708557777635,4300
91,80,-617.8,-16.53315950711298,4400
91,82,-618.0,-16.575236587198777,4500
90,84,-618.0,-16.497003399785942,4600
90,84,-618.0,-16.497003399785942,4700
90,86,-618.5,-16.32524948710261,4800
90,86,-618.5,-16.32524948710261,4900
90,88,-618.9,-16.480716829866743,5000
90,91,-619.0,-16.527132452865015,5100
89,92,-619.1,-16.464105241483118,5200
89,95,-618.9,-16.38810793605305,5300
89,97,-619.0,-16.430470398360242,5400
