ep_rewmean,current_lr,time_elapsed,n_updates,fps,mean 100 episode reward,episodes,total timesteps,eplenmean,ent_coef_loss,qf2_loss,qf1_loss,ent_coef,entropy,value_loss,policy_loss
-656.4112621081082,0.0003,33,1265,41,-656.4,38,1365,36.891891891891895,-0.8552462,16.769547,16.77178,0.70407265,2.354459,2.908442,31.506649
-656.9182837105263,0.0003,33,1290,41,-656.9,39,1390,36.578947368421055,-0.85869634,4757.0947,4753.662,0.6992738,2.3209918,2.7436893,35.970253
-655.6864558717949,0.0003,34,1318,41,-655.7,40,1418,36.35897435897436,-0.8959389,12.2169075,12.27357,0.6938905,2.3670826,4.2607107,33.131855
-655.872910925,0.0003,35,1352,41,-655.9,41,1452,36.3,-0.9861156,9351.521,9345.867,0.68684775,2.4390936,1.7754741,32.871902
-657.3304864390243,0.0003,36,1390,41,-657.3,42,1490,36.34146341463415,-0.987584,2336.9248,2335.1526,0.6789994,2.45703,1.382175,31.766018
-660.2695599761904,0.0003,39,1547,41,-660.3,43,1647,39.214285714285715,-1.1274437,4583.415,4581.6416,0.64763427,2.32199,2.4557376,38.933968
-663.7694664186046,0.0003,46,1813,41,-663.8,44,1913,44.48837209302326,-1.0848787,4798.117,4819.911,0.60342914,2.133197,2.4962146,36.31363
-671.4362947272726,0.0003,49,1967,41,-671.4,45,2067,46.97727272727273,-1.2750816,4395.4746,4393.7227,0.57804143,2.2331448,2.055977,37.040295
-659.1960448222221,0.0003,56,2267,41,-659.2,46,2367,52.6,-1.4320141,2155.3184,2156.864,0.5332146,2.1021104,4.32625,42.57368
-650.207113673913,0.0003,64,2567,41,-650.2,47,2667,57.97826086956522,-1.5261539,3.733262,3.4301467,0.49361792,2.2912655,3.826847,45.731346
-650.3240278510638,0.0003,64,2598,41,-650.3,48,2698,57.40425531914894,-1.265132,2087.1401,2086.1013,0.48919302,2.0798311,2.6141925,46.221138
-649.4805553958334,0.0003,65,2636,41,-649.5,49,2736,57.0,-1.7226534,2086.4155,2087.3389,0.4837408,2.4773088,5.147829,41.83532
-653.705324,0.0003,68,2765,41,-653.7,50,2865,58.46938775510204,-1.7437918,2073.503,2074.5435,0.4659139,2.2901683,2.95638,44.543304
-642.6477227600001,0.0003,76,3065,41,-642.6,51,3165,63.3,-1.9197419,2018.1619,2018.8315,0.4248964,2.4083288,2.056365,48.513027
-632.6733774901961,0.0003,83,3365,41,-632.7,52,3465,67.94117647058823,-2.4481182,23.179432,22.945278,0.3869133,2.4101381,3.674384,51.182877
-632.4788806346155,0.0003,84,3431,41,-632.5,53,3531,67.90384615384616,-2.3115344,1963.6519,1963.8916,0.37893844,2.404049,3.2566342,52.836094
-631.277630018868,0.0003,92,3731,41,-631.3,54,3831,72.28301886792453,-3.1360242,4.3109336,4.575028,0.34203732,2.534299,2.1904707,52.612183
-633.8897522222222,0.0003,98,3979,41,-633.9,55,4079,75.53703703703704,-3.2451005,1897.6206,1896.0476,0.31631622,2.4218287,12.33846,53.633614
-633.5158780545455,0.0003,99,4038,41,-633.5,56,4138,75.23636363636363,-2.9197166,2335.1536,2325.6636,0.31033844,2.3750358,2.1282067,55.139885
-633.7239057857142,0.0003,103,4175,41,-633.7,57,4275,76.33928571428571,-2.8274875,2328.3828,2330.1692,0.29673696,2.3284218,1.5315566,54.42678
-625.6111840701755,0.0003,110,4475,41,-625.6,58,4575,80.26315789473684,-3.4012704,1863.2815,1862.7743,0.2705275,2.4554887,5.9727993,63.12961
-625.3340198793104,0.0003,111,4504,41,-625.3,59,4604,79.37931034482759,-3.6414533,12.309222,14.370335,0.26812807,2.402319,4.917125,59.50892
-625.2948273050847,0.0003,112,4553,41,-625.3,60,4653,78.86440677966101,-3.314858,8.963257,9.014717,0.26402703,2.3214636,3.0241563,58.874176
-625.6942464,0.0003,115,4691,41,-625.7,61,4791,79.85,-3.9358654,2387.0603,2364.8848,0.25311324,2.4670749,3.8391414,58.943523
-625.396519704918,0.0003,116,4718,41,-625.4,62,4818,78.98360655737704,-2.9133244,1802.3049,1802.5933,0.2511345,2.2133837,4.083104,57.915382
-625.4289818709677,0.0003,118,4795,41,-625.4,63,4895,78.95161290322581,-3.8245823,1797.484,1796.632,0.24578452,2.365202,1.9429612,59.384674
-626.6273535238095,0.0003,120,4886,41,-626.6,64,4986,79.14285714285714,-2.7462025,24.217192,23.42321,0.23935957,2.2114382,20.930494,61.792084
-626.3484069375,0.0003,121,4914,41,-626.3,65,5014,78.34375,-3.4021902,7.8528047,9.25462,0.23777783,2.4881158,9.105213,59.828003
-629.5080351384617,0.0003,124,5037,41,-629.5,66,5137,79.03076923076924,-2.2187672,7.8357944,8.123516,0.23092066,2.4417448,14.337488,60.20499
-621.9545027424243,0.0003,131,5337,41,-622.0,67,5437,82.37878787878788,-3.81789,1728.7211,1729.4153,0.21412809,2.2952876,5.426651,67.65344
-621.2143986865673,0.0003,138,5637,41,-621.2,68,5737,85.6268656716418,-3.609745,1690.8934,1691.616,0.1979087,2.221393,3.4661589,61.40788
-621.3875285441178,0.0003,141,5741,41,-621.4,69,5841,85.8970588235294,-3.2241268,7.211115,6.999467,0.19248314,2.0851512,3.2828903,62.51567
-621.3711635652176,0.0003,142,5807,41,-621.4,70,5907,85.6086956521739,-3.8362033,7.705969,7.586791,0.18894513,2.2435465,4.4642,70.70022
-621.5724681000002,0.0003,145,5909,41,-621.6,71,6009,85.84285714285714,-2.7164946,1668.6511,1671.7441,0.18377677,2.1371324,12.688292,69.01536
-621.3480038028171,0.0003,145,5934,41,-621.3,72,6034,84.98591549295774,-3.669851,1706.4076,1706.7224,0.182628,2.1151657,4.0869207,67.74878
-621.7590678472222,0.0003,148,6059,41,-621.8,73,6159,85.54166666666667,-2.764516,1691.1556,1692.8185,0.17745046,2.1055608,7.260503,70.65712
-621.975544,0.0003,151,6183,41,-622.0,74,6283,86.06849315068493,-3.2500257,1639.1091,1639.4912,0.17204782,2.236629,8.676304,75.611984
-622.2047445945947,0.0003,154,6305,41,-622.2,75,6405,86.55405405405405,-2.1792355,5931.964,5924.4863,0.16676393,2.1351075,9.108226,76.492645
-622.30442588,0.0003,157,6403,41,-622.3,76,6503,86.70666666666666,-3.7835562,9.730099,10.116904,0.1627088,2.198738,1.8203492,69.3208
-622.7229698552633,0.0003,161,6576,41,-622.7,77,6676,87.84210526315789,-3.826676,4.6362576,4.221566,0.15623485,2.1713457,0.41328624,66.798065
-615.799340883117,0.0003,168,6876,41,-615.8,78,6976,90.59740259740259,-3.8433323,1574.3887,1576.448,0.14608252,2.076137,2.189584,73.57785
-610.9412876025643,0.0003,176,7176,41,-610.9,79,7276,93.28205128205128,-2.5052142,5.514783,5.305604,0.13631822,1.9229342,3.4724398,73.69479
-611.2148316455698,0.0003,179,7293,41,-611.2,80,7393,93.58227848101266,-1.2495828,45.734314,45.510468,0.13359597,1.8502487,2.2307649,75.92417
-611.4718512875,0.0003,182,7395,41,-611.5,81,7495,93.6875,-1.7123659,9.09867,9.576805,0.13098092,2.021617,9.963047,76.40739
-606.5893053580248,0.0003,189,7695,41,-606.6,82,7795,96.23456790123457,-1.834927,2049.3928,2044.8356,0.12436276,2.0769157,4.5554175,80.35176
-606.6339753170734,0.0003,191,7745,40,-606.6,83,7845,95.67073170731707,-2.3924708,1498.0603,1497.564,0.1228925,2.0545545,7.068304,80.41341
-606.8570095783134,0.0003,193,7816,40,-606.9,84,7916,95.37349397590361,-3.1367817,2039.9961,2037.1277,0.12093367,1.9232851,4.285545,77.21918
