EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain,,,,,,,,,,,,
0,185.075,-5.029736047,5,-335.6176877,313,0,896.4695537,40960,0,1.514237,-0.001002789,0.000727985,0.013356891,0.013356891,,,,,,,,,,,,
0,191.675,-4.653155235,4,-308.6292056,317,0,919.2413263,41984,0,1.5607345,-0.006755829,0.000859141,0.010965906,0.010965906,,,,,,,,,,,,
0,181.475,-5.428759735,6,-333.86468,323,0,941.6805909,43008,0,1.5393319,-0.001143575,0.00070035,0.012232926,0.012232926,,,,,,,,,,,,
0,201.45,-3.405907709,7,-328.0393011,330,0,964.297621,44032,0,1.5279403,-0.000842094,0.000744483,0.011773569,0.011773569,,,,,,,,,,,,
0,180.325,-4.116229688,7,-363.921418,337,0,986.9752798,45056,0,1.5509671,-2.83E-05,0.000731836,0.011426395,0.011426395,,,,,,,,,,,,
0,167.075,-5.036462934,7,-357.3583943,344,0,1009.376579,46080,0,1.5414087,-0.00056088,0.000736994,0.014027371,0.014027371,,,,,,,,,,,,
0,156.7,-5.380406352,7,-383.0727506,351,0,1032.035839,47104,0,1.5428907,-0.000643253,0.000775742,0.012324253,0.012324253,,,,,,,,,,,,
0,153.6,-5.577262629,6,-411.7331251,357,0,1054.981956,48128,0,1.5271327,-0.000300765,0.000745335,0.011995604,0.011995604,,,,,,,,,,,,
0,149.5,-5.584437422,7,-395.2681387,364,0,1077.204573,49152,0,1.5503051,-0.000612378,0.000778057,0.014526229,0.014526229,,,,,,,,,,,,
0,153.6,-5.654467062,6,-395.8396194,370,0,1099.162108,50176,0,1.5435967,-0.000288129,0.000787141,0.01045425,0.01045425,,,,,,,,,,,,
0,161.3,-4.983495501,5,-368.5762352,375,0,1121.138268,51200,0,1.5207701,-0.000384808,0.000752351,0.013319142,0.013319142,,,,,,,,,,,,
0,155.675,-5.318974805,6,-411.4326873,381,0,1143.468407,52224,0,1.5370722,-0.000356913,0.000809981,0.011623608,0.011623608,,,,,,,,,,,,
0,163.075,-5.104365812,6,-399.8865113,387,0,1166.045175,53248,0,1.5362632,-0.000339985,0.00077978,0.016193084,0.016193084,,,,,,,,,,,,
0,161.7,-5.14785157,8,-398.7708076,395,0,1188.54119,54272,0,1.5228022,-0.000466585,0.000806492,0.011754382,0.011754382,,,,,,,,,,,,
0,163.575,-4.900845838,7,-398.6968507,402,0,1210.946123,55296,0,1.5150936,-0.000679731,0.000787586,0.013278945,0.013278945,,,,,,,,,,,,
