n_updates,mean 100 episode reward,episodes,fps,total timesteps,time_elapsed,mean 100 episode reward per step,current_lr,entropy,value_loss,qf1_loss,policy_loss,qf2_loss,eplenmean,ent_coef,ep_rewmean,ent_coef_loss
3200,-660.3,69,39,3300,82,-19.252286490193615,0.0003,2.6252098,0.49632686,4.732843,35.009155,4.1211176,47.6764705882353,0.37690496,-660.28696325,-3.0881648
3300,-660.3,69,39,3400,85,-19.252286490193615,0.0003,2.4385295,2.3620634,5.713337,41.470737,5.1598644,47.6764705882353,0.36539817,-660.28696325,-2.9550476
3400,-660.8,70,39,3500,87,-19.024315867916382,0.0003,2.2882953,0.5636084,5.095384,37.122986,4.7867546,49.84057971014493,0.35415906,-660.7740474057972,-2.9247584
3500,-661.6,71,39,3600,90,-18.881962095670833,0.0003,2.312962,0.6935737,1981.7202,40.266045,1979.6442,50.25714285714286,0.34334862,-661.5587694857144,-2.9487772
3600,-661.6,71,39,3700,92,-18.881962095670833,0.0003,2.5141408,0.8447951,6.1275434,40.787155,6.16776,50.25714285714286,0.33294076,-661.5587694857144,-3.364674
3700,-664.2,74,39,3800,95,-18.610254275283623,0.0003,2.6376472,0.40807146,4.211592,40.980915,3.8026347,52.054794520547944,0.3228157,-664.2141888219179,-3.5332465
3800,-664.2,74,40,3900,97,-18.610254275283623,0.0003,2.4927716,1.4904109,4929.838,45.330177,4934.254,52.054794520547944,0.31300804,-664.2141888219179,-3.6536486
3900,-664.2,74,39,4000,99,-18.610254275283623,0.0003,2.5706816,0.95946515,6310.535,47.182426,6310.6836,52.054794520547944,0.30336082,-664.2141888219179,-3.5855672
4000,-665.2,75,39,4100,102,-18.402608229698135,0.0003,2.4593973,0.6401649,6.577691,45.684288,6.2068806,54.41891891891892,0.2942196,-665.1908815,-3.726497
4100,-665.1,77,40,4200,104,-18.12405984707428,0.0003,2.4930806,0.7591306,6273.6514,49.88362,6276.7397,55.26315789473684,0.28532133,-665.0572993684211,-3.7210655
4200,-665.5,78,40,4300,107,-18.078441114032067,0.0003,2.4805105,0.7387583,1905.5029,48.962193,1904.595,55.16883116883117,0.27668175,-665.5286076233767,-3.9188347
4300,-665.3,80,40,4400,109,-17.876506279002488,0.0003,2.3249846,0.5662149,2417.6772,50.83414,2419.35,55.41772151898734,0.2682394,-665.2871045063292,-4.0150294
4400,-665.8,81,40,4500,112,-17.84008012988158,0.0003,2.5611434,3.7301924,2413.372,48.937946,2415.098,55.3125,0.2601325,-665.761434125,-3.933333
4500,-665.9,82,40,4600,114,-17.707130329478954,0.0003,2.3279502,1.7729797,4793.4556,52.085754,4797.5176,55.81481481481482,0.2522757,-665.9227749876544,-4.006971
4600,-665.9,82,40,4700,117,-17.707130329478954,0.0003,2.4763577,1.9109228,3710.0505,51.108524,3712.164,55.81481481481482,0.24478401,-665.9227749876544,-4.402357
4700,-665.9,82,40,4800,119,-17.707130329478954,0.0003,2.3812208,3.11872,2378.8176,53.598,2380.1553,55.81481481481482,0.23739117,-665.9227749876544,-3.9490514
4800,-658.5,84,40,4900,122,-17.427975657334933,0.0003,2.2122202,0.16701102,2372.3396,52.456383,2373.837,58.71084337349398,0.23030259,-658.4623925903616,-4.075944
4900,-657.8,85,40,5000,124,-17.46116882612703,0.0003,2.3869703,0.92132056,4183.3013,54.98568,4186.4194,58.36904761904762,0.22341923,-657.8436266666668,-4.4202833
5000,-659.4,86,40,5100,127,-17.329829918392964,0.0003,2.5035508,1.214431,8323.719,58.44831,8330.272,59.16470588235294,0.21678515,-659.439202482353,-4.733344
5100,-659.4,86,40,5200,129,-17.329829918392964,0.0003,2.5234723,0.7054128,4684.274,58.856888,4686.9395,59.16470588235294,0.21032748,-659.439202482353,-4.7729254
5200,-659.4,86,40,5300,132,-17.329829918392964,0.0003,2.3540397,0.16151908,1801.7156,57.00042,1804.3263,59.16470588235294,0.2039946,-659.439202482353,-4.7051134
5300,-652.5,88,40,5400,134,-17.102467075127112,0.0003,2.504954,0.3690381,6961.3623,60.87648,6964.959,61.735632183908045,0.19785278,-652.4906670574713,-5.0838423
5400,-652.3,89,40,5500,137,-16.972921817038067,0.0003,2.3825698,1.6894664,2314.8599,61.89354,2315.8347,62.30681818181818,0.19195037,-652.3337077613637,-4.943713
5500,-652.1,90,40,5600,139,-16.85963619214958,0.0003,2.6109798,0.2617792,3536.9321,59.300797,3542.6309,62.640449438202246,0.1862778,-652.1268808202248,-5.540871
5600,-651.8,92,40,5700,142,-16.869311446609586,0.0003,2.4978352,0.6820196,5810.5757,64.244095,5817.9497,62.142857142857146,0.18082683,-651.8482895054946,-5.48153
5700,-651.9,94,40,5800,144,-16.710096090211998,0.0003,2.7203212,13.890467,2286.3164,61.578884,2286.5422,62.29032258064516,0.17549457,-651.8504936989248,-5.186241
5800,-652.5,95,40,5900,147,-16.638517556859117,0.0003,2.4920135,1.0794625,4011.9006,66.40988,4016.5557,62.38297872340426,0.17028266,-652.4552936702129,-5.1918154
5900,-652.9,96,40,6000,149,-16.609702887396725,0.0003,2.5160232,0.5168961,2262.766,68.48179,2263.7964,62.252631578947366,0.16519514,-652.903724231579,-5.7493057
6000,-652.9,96,40,6100,152,-16.609702887396725,0.0003,2.616762,9.9333935,1729.007,68.06934,1735.6884,62.252631578947366,0.16023742,-652.903724231579,-5.6513186
6100,-652.7,98,40,6200,154,-16.438254724973103,0.0003,2.5554996,0.38416263,3983.3604,68.72067,3988.4744,63.618556701030926,0.15545225,-652.6696144329896,-6.077725
6200,-652.6,100,40,6300,157,-16.34030739424938,0.0003,2.3707857,3.9761634,2231.044,72.38994,2231.7483,63.62626262626262,0.15078361,-652.636373979798,-5.322975
6300,-652.8,102,40,6400,159,-16.461884042048474,0.0003,2.590634,0.048453465,30.69654,68.47294,30.367025,62.52,0.1462328,-652.8327854300001,-6.2089224
6400,-653.5,103,40,6500,162,-16.491875182095193,0.0003,2.3943925,0.83525574,2211.9688,76.776,2212.578,62.47,0.14181623,-653.5327385900001,-5.771779
6500,-654.7,104,40,6600,164,-16.172887082756944,0.0003,2.565605,0.05691744,2198.6433,71.110054,2199.172,63.65,0.13755517,-654.7132689100001,-6.2730045
6600,-655.0,106,40,6700,167,-15.778816057496933,0.0003,2.4861622,0.15522444,2185.901,73.711815,2186.55,64.39,0.13341635,-655.00701773,-6.676091
6700,-655.0,106,40,6800,169,-15.778816057496933,0.0003,2.5111918,0.42884725,6023.22,79.07915,6033.706,64.39,0.12944682,-655.00701773,-6.4984517
6800,-655.0,108,40,6900,172,-15.455146045999307,0.0003,2.4785266,1.643177,6.884499,75.30912,6.184875,65.58,0.12572277,-654.98259897,-6.2637835
6900,-655.3,109,40,7000,174,-15.326178283832297,0.0003,2.5564165,0.11418936,2153.604,76.59398,2154.1177,66.56,0.12210187,-655.33850879,-6.6460333
7000,-658.6,110,40,7100,177,-15.115737661094084,0.0003,2.6189728,0.34760344,1638.15,82.34644,1644.2117,67.04,0.11856124,-658.62651287,-6.5789495
7100,-658.3,111,40,7200,179,-14.868363967466196,0.0003,2.5949926,0.041819736,28.109184,78.41642,26.40263,67.33,0.11514864,-658.28948095,-6.7053623
7200,-658.7,112,40,7300,182,-14.69928575214242,0.0003,2.4084935,3.0476086,3748.9316,82.2429,3756.8604,68.15,0.11181347,-658.6997929099999,-6.36072
7300,-659.6,113,40,7400,184,-14.56636651757547,0.0003,2.3214996,3.065269,1613.7845,87.96501,1619.9048,69.27,0.10866464,-659.61032565,-4.934428
7400,-660.2,114,40,7500,186,-14.411677243210379,0.0003,2.55449,0.44206634,1604.9792,84.59097,1611.7274,69.76,0.105548695,-660.15452636,-6.8685966
7500,-661.0,115,40,7600,189,-14.284795459710443,0.0003,2.5220861,0.6117115,5.1564713,88.147934,4.856368,70.52,0.1023912,-660.9808244899999,-6.8577585
7600,-662.8,117,40,7700,191,-14.167064640264073,0.0003,2.430409,0.17050275,5751.6494,86.493835,5760.3223,71.1,0.09935585,-662.8168831199999,-6.2925606
7700,-663.8,118,40,7800,194,-14.039920239720884,0.0003,2.3820376,10.948402,2088.5186,89.12274,2092.9343,71.96,0.09646437,-663.76783817,-5.950159
7800,-664.0,119,40,7900,196,-13.983632397719514,0.0003,2.4868808,0.21403429,5.050968,87.24315,4.836173,72.07,0.09361717,-663.9796444299999,-7.097752
7900,-663.9,120,40,8000,199,-13.831403622967612,0.0003,2.5016594,0.14556742,1592.1973,90.72985,1599.6254,72.67,0.09083865,-663.88175214,-7.544118
8000,-663.8,121,40,8100,201,-13.557845643265294,0.0003,2.347503,0.21664959,1559.1995,93.81117,1566.5212,73.42,0.08814675,-663.77797854,-7.3798456
8100,-667.7,123,40,8200,204,-13.338171600005442,0.0003,2.602622,3.1411254,6.088697,92.7841,5.629005,74.46,0.08545754,-667.6871486899998,-7.5962524
8200,-667.6,124,40,8300,206,-13.244109137663472,0.0003,2.4936562,0.05637282,1547.6074,92.192825,1555.5728,74.74,0.08289125,-667.59866265,-8.076447
8300,-667.6,124,40,8400,209,-13.244109137663472,0.0003,2.434668,0.026534906,2022.3458,92.29242,2023.417,74.74,0.08039112,-667.59866265,-7.8995857
8400,-669.3,125,40,8500,211,-13.004588767710377,0.0003,2.4885201,0.26843706,2013.2334,97.564224,2013.9485,76.72,0.07804478,-669.3332084999998,-8.088219
8500,-670.2,126,40,8600,214,-12.660032430700305,0.0003,2.4391813,0.09004283,5.8457303,96.04582,5.5260763,77.79,0.07568649,-670.1574652300001,-8.343599
8600,-670.2,126,40,8700,216,-12.660032430700305,0.0003,2.4140768,0.31941485,7.821909,96.51021,8.251755,77.79,0.07342868,-670.1574652300001,-7.987286
8700,-671.2,127,40,8800,219,-12.454200341353873,0.0003,2.4632158,0.7501489,7.189242,102.87567,6.585073,79.42,0.07122598,-671.1891627900001,-7.7957497
8800,-671.3,129,40,8900,221,-12.306251469568705,0.0003,2.5209804,0.1763908,2993.2847,103.716095,3010.3718,79.77,0.069087654,-671.26020876,-8.497856
8900,-671.3,129,40,9000,224,-12.306251469568705,0.0003,2.5424845,0.54401857,1958.8424,100.83827,1959.2928,79.77,0.0670522,-671.26020876,-7.71654
9000,-672.8,131,40,9100,226,-11.919658041644563,0.0003,1.7321798,0.20054238,10.451336,103.220276,11.08868,81.12,0.06511019,-672.8338854900001,-4.7550607
9100,-673.3,133,40,9200,229,-11.774050101106043,0.0003,2.364225,0.1224946,3416.0837,104.371956,3425.3945,81.39,0.0633295,-673.3184050200001,-8.446188
9200,-674.4,135,40,9300,231,-11.674783170615619,0.0003,2.2938054,0.11343719,1933.5438,105.161545,1934.0016,81.47,0.061443217,-674.3708674400001,-8.0358095
9300,-674.4,135,40,9400,234,-11.674783170615619,0.0003,2.504414,0.014051268,4.936387,104.816696,4.5036287,81.47,0.059629828,-674.3708674400001,-8.204222
9400,-675.7,138,40,9500,236,-11.548336114762948,0.0003,2.4452038,2.4513881,1917.6885,110.217255,1918.5718,82.17,0.05789346,-675.68062489,-7.3519673
9500,-675.7,138,40,9600,239,-11.548336114762948,0.0003,2.5370116,0.1424264,6.8193307,108.7079,6.463568,82.17,0.05621825,-675.68062489,-8.794546
9600,-677.0,140,40,9700,241,-11.299173122405858,0.0003,2.5759351,0.07713406,1896.386,110.06679,1897.007,83.18,0.05454527,-677.00289931,-9.4349575
9700,-682.7,141,40,9800,244,-11.278228217704436,0.0003,2.5541372,0.04628207,1888.9371,109.29822,1890.362,83.82,0.052961644,-682.65225936,-9.370821
9800,-682.5,142,40,9900,246,-11.109360844053821,0.0003,2.359552,0.19442928,1883.0916,113.3437,1885.282,84.41,0.051396735,-682.51932021,-7.948672
9900,-683.5,143,40,10000,248,-11.063771619556046,0.0003,2.3766832,0.07273916,6.1473846,114.27522,5.765377,84.73,0.049859483,-683.50116656,-8.896467
10000,-684.4,145,40,10100,251,-10.94792665398343,0.0003,2.5028787,0.033332482,1858.9023,113.877625,1859.3971,85.36,0.04835187,-684.3836512400001,-9.463342
10100,-684.4,145,40,10200,253,-10.94792665398343,0.0003,2.4916549,0.06691724,3926.2107,116.45241,3923.8022,85.36,0.046939284,-684.3836512400001,-9.61853
10200,-684.6,146,40,10300,256,-10.848020807328732,0.0003,2.2818604,6.213167,6.516365,117.95801,6.2723064,86.94,0.045532584,-684.5657879599999,-8.167004
10300,-686.0,148,40,10400,258,-10.83042524309558,0.0003,2.4000497,0.4589396,1829.8003,120.36778,1830.3253,87.08,0.044179045,-686.02483531,-8.611525
10400,-686.1,150,40,10500,261,-11.077134792271229,0.0003,2.385196,0.09572865,6.9915385,119.719574,7.061287,85.72,0.043224003,-686.10090631,-8.728071
10500,-686.1,150,40,10600,263,-11.077134792271229,0.0003,2.56252,0.650497,3620.8384,120.4914,3616.5046,85.72,0.042223576,-686.10090631,-9.448718
10600,-684.9,152,40,10700,266,-11.012225699833918,0.0003,2.4765286,40.336983,1409.6006,123.69867,1425.9117,86.15,0.041105457,-684.8521643600001,-8.258815
10700,-684.2,154,40,10800,268,-10.860083172907913,0.0003,2.5157323,0.122730866,1795.2574,123.20883,1795.0587,86.42,0.040001467,-684.19046091,-9.065058
10800,-683.7,156,40,10900,271,-10.718027882048194,0.0003,2.5324602,0.0792119,28.962563,123.60428,28.738245,87.01,0.039050013,-683.7211226400001,-8.055477
10900,-681.3,158,40,11000,273,-10.83939911332588,0.0003,2.011448,8.031782,6.43176,125.56643,7.113776,85.77,0.038189247,-681.2984851599999,-7.106155
11000,-680.2,159,40,11100,276,-10.925711000696886,0.0003,2.3474674,0.09724864,1767.319,126.08151,1768.3062,83.79,0.037545312,-680.18802209,-8.958757
11100,-679.8,160,40,11200,278,-10.87419675046002,0.0003,2.4270244,0.3997575,4067.0188,129.6397,4100.4785,84.41,0.036400802,-679.76143563,-8.12031
11200,-680.0,161,40,11300,281,-10.89575503373605,0.0003,2.3786864,0.24621338,15.710763,128.6543,15.472935,84.35,0.035274465,-680.0004398899999,-10.007341
11300,-678.9,162,40,11400,283,-10.827638329086287,0.0003,2.4338949,0.1603207,1349.8933,130.76828,1359.6023,84.7,0.034234405,-678.91533236,-9.246588
11400,-678.0,164,40,11500,286,-10.743132848582245,0.0003,2.5128446,0.22578913,1736.5767,132.27911,1735.6226,85.41,0.03323017,-677.9957375200001,-9.573775
11500,-678.0,164,40,11600,288,-10.743132848582245,0.0003,2.569348,0.0123667065,1719.7517,131.66248,1720.1456,85.41,0.032200344,-677.9957375200001,-10.530844
11600,-679.8,166,40,11700,291,-10.705674625210666,0.0003,2.4082847,0.20763929,1331.8301,135.84952,1342.9866,86.12,0.031190533,-679.8079101300001,-9.604873
11700,-680.9,167,40,11800,293,-10.74821275876817,0.0003,2.537259,0.08194474,1700.2776,135.23969,1700.7098,86.04,0.030216115,-680.8867994700001,-11.051251
11800,-680.8,168,40,11900,296,-10.656929763301404,0.0003,2.5330806,0.27262312,6.421212,137.97543,6.4769416,86.68,0.029336661,-680.7993365199999,-10.064222
11900,-680.9,169,40,12000,298,-10.623422281054607,0.0003,2.380682,0.09406574,1317.6072,138.45853,1329.7285,87.08,0.028441355,-680.9227536399999,-9.4921
12000,-685.2,170,40,12100,301,-10.66546741880971,0.0003,2.0583544,0.18711215,1685.3033,140.30923,1684.5052,86.56,0.027894229,-685.18769556,-9.568949
