mean 100 episode reward per step,time_elapsed,total timesteps,eplenmean,mean 100 episode reward,ep_rewmean,current_lr,fps,episodes,n_updates,ent_coef,ent_coef_loss,policy_loss,entropy,qf2_loss,value_loss,qf1_loss
-15.898194573876324,62,3200,59.698113207547166,-689.2,-689.2239098113206,0.0003,51,54,3100,0.3908675,-3.1553416,32.17537,2.5924554,2136.5247,0.3585065,2125.2896
-15.777487090523826,64,3300,59.70909090909091,-691.5,-691.4824324545453,0.0003,51,56,3200,0.37934682,-3.1454115,35.517742,2.544509,5037.2314,0.22083913,5035.1284
-15.675406012966763,66,3400,59.54385964912281,-691.9,-691.9145694912281,0.0003,51,58,3300,0.3681393,-3.281741,34.47425,2.5174909,5010.6494,2.0260625,5008.809
-15.530097474645112,68,3500,60.01724137931034,-690.9,-690.856274137931,0.0003,51,59,3400,0.3573382,-3.367107,41.4196,2.5458276,4598.1274,0.45843768,4584.8794
-15.530097474645112,70,3600,60.01724137931034,-690.9,-690.856274137931,0.0003,51,59,3500,0.3468583,-3.5301938,37.77369,2.5330634,4962.174,0.06341397,4960.2744
-15.35166796114402,72,3700,60.86666666666667,-691.6,-691.6266080500001,0.0003,51,61,3600,0.33651325,-3.6771836,42.41092,2.5826893,2471.3013,0.89811444,2470.1255
-15.354142377005566,74,3800,60.23809523809524,-689.4,-689.4331082063492,0.0003,51,64,3700,0.32647386,-3.6977932,42.17244,2.5471935,2456.9622,0.2882121,2456.231
-15.267928134967082,76,3900,60.5,-690.5,-690.49517178125,0.0003,51,65,3800,0.31679735,-3.6615882,44.44258,2.411326,2075.763,0.36023852,2063.3909
-15.23857555203032,78,4000,60.484848484848484,-695.6,-695.5697900454545,0.0003,51,67,3900,0.30751508,-3.9284568,45.849277,2.4903002,6.6205654,0.21697819,6.5825396
-15.11459728667334,80,4100,60.940298507462686,-694.6,-694.6032990149254,0.0003,51,68,4000,0.29848024,-3.8096905,45.000904,2.4527583,10.452551,4.5012274,12.963318
-15.1812025541633,81,4200,60.51470588235294,-693.6,-693.6326648382353,0.0003,51,69,4100,0.2900713,-3.7356505,47.027237,2.5972905,2058.6353,0.13644852,2045.0466
-15.125854662873712,83,4300,61.25714285714286,-701.1,-701.0915499,0.0003,51,71,4200,0.28157774,-4.0902166,49.632957,2.5022845,8866.313,0.40961614,8838.332
