obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps_mean,rollout/episodes,rollout/return,rollout/return_history_mean,rollout/return_history_std,rollout/return_per_step_mean,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.3114180266857147,0.20026791095733643,0.1639088940674591,-51.42971420288086,32.361167907714844,0.17831692099571228,0.9156494140625,-51.570289611816406,32.6271858215332,0.07544766366481781,0.7807427048683167,-25.544767379760742,0.07274112105369568,0.7657120227813721,32.278688524590166,61.0,-649.7501831054688,-649.7501831054688,46.503761291503906,-24.40735968392382,46.503761291503906,35.76998019218445,61.0,1,2000,55.912807031327056,48.695274353027344,8604.14453125,1.0526930093765259
0.3069058358669281,0.2025795876979828,0.13433062777208762,-108.14623260498047,51.52145767211914,-0.03791509568691254,0.9427569508552551,-104.33003234863281,50.75817108154297,-0.012179272249341011,0.8925932049751282,-54.45775604248047,0.05989621579647064,0.7828329205513,31.46825396825397,126.0,-647.63330078125,-647.4602661132812,45.381290435791016,-24.50789769554529,42.731292724609375,70.14136481285095,126.0,2,4000,57.027689875620155,110.31504821777344,5709.44482421875,0.5434719920158386
0.3063439726829529,0.20154383778572083,0.11008992318755192,-164.93814086914062,68.86773681640625,-0.08538094162940979,0.9344239234924316,-159.99630737304688,68.60651397705078,-0.09988325834274292,0.8985728025436401,-82.47252655029297,0.06517138332128525,0.810379683971405,31.43617021276596,188.0,-646.0567016601562,-643.7537841796875,35.1353874206543,-24.860722761458646,40.28886032104492,104.96731996536255,188.0,3,6000,57.16064773283627,162.7637176513672,3604.914306640625,0.5843842625617981
0.3074742257595062,0.20127084851264954,0.09022358778821578,-189.5720977783203,90.36982727050781,-0.07179444283246994,0.9345540404319763,-183.912353515625,88.49496459960938,-0.038583844900131226,0.914387047290802,-105.16853332519531,0.05782356485724449,0.8054714202880859,38.25728155339806,206.0,-643.5216674804688,-638.6845092773438,64.83416748046875,-22.2714392950749,56.17747497558594,138.62196946144104,206.0,4,8000,57.71090997394372,175.0115203857422,2090.331787109375,0.4098764955997467
0.31363341212272644,0.19937629997730255,0.07394224246582377,-205.68902587890625,115.3404541015625,0.014939367771148682,0.9539813995361328,-197.5458984375,112.68916320800781,0.03207768499851227,0.9398945569992065,-108.67717742919922,0.02892122231423855,0.7906391024589539,45.48623853211009,218.0,-628.282470703125,-605.0689086914062,138.64926147460938,-20.38481803421459,101.61601257324219,172.8354754447937,218.0,5,10000,57.858492154257725,166.81370544433594,1290.5001220703125,0.4854266941547394
0.3153032660484314,0.20566876232624054,0.060598955937205407,-212.76976013183594,138.5791473388672,0.1572256237268448,0.9296705722808838,-203.2452392578125,136.35850524902344,0.21740637719631195,0.9083386063575745,-103.90802001953125,0.0561588779091835,0.7767038941383362,51.5948275862069,232.0,-624.2686157226562,-594.5022583007812,166.205322265625,-18.186519172395382,116.5392837524414,208.3906934261322,232.0,6,12000,57.584145446752466,143.62181091308594,796.4545288085938,0.4568537175655365
0.3106331527233124,0.22049736976623535,0.04966353924655011,-213.43621826171875,159.117919921875,0.1629607081413269,0.9275156259536743,-203.62344360351562,153.0540313720703,0.1512066125869751,0.9202602505683899,-105.44210815429688,0.082972951233387,0.7655405402183533,55.95141700404859,247.0,-631.9531860351562,-610.8668212890625,196.34410095214844,-15.413206758584495,129.89877319335938,242.53905177116394,247.0,7,14000,57.722663207280235,121.56734466552734,766.634033203125,0.3540293276309967
0.30761250853538513,0.22860649228096008,0.040701478966889394,-212.1813507080078,173.06900024414062,0.21122726798057556,0.9132148623466492,-197.328857421875,164.0767364501953,0.2321869432926178,0.8870340585708618,-104.99498748779297,0.09607250243425369,0.7513783574104309,61.98443579766537,257.0,-637.5135498046875,-624.4097900390625,221.92901611328125,-13.710290217560196,142.18426513671875,276.93590474128723,257.0,8,16000,57.77510148042074,111.35733032226562,810.139404296875,0.29286447167396545
0.3052971363067627,0.23249809443950653,0.034027141129503384,-200.4034423828125,187.6659393310547,0.15429890155792236,0.933173418045044,-187.65594482421875,181.3665008544922,0.10747864097356796,0.9542443156242371,-103.57775115966797,0.0934218317270279,0.7387780547142029,65.44,275.0,-643.7245483398438,-641.1122436523438,245.39654541015625,-10.021507844773053,151.01405334472656,310.06118535995483,275.0,9,18000,58.05305807337194,93.87389373779297,693.0105590820312,0.2493712604045868
0.3045118749141693,0.23795461654663086,0.027886755354071244,-197.52288818359375,200.43344116210938,0.11531944572925568,0.9321911334991455,-180.59918212890625,192.32318115234375,0.051235608756542206,0.9404078125953674,-100.35420227050781,0.09929130971431732,0.729759156703949,69.9055944055944,286.0,-642.868896484375,-636.736083984375,269.7945251464844,-7.970543873259293,162.90187072753906,343.5121536254883,286.0,10,20000,58.222103028718045,78.20223999023438,762.2892456054688,0.36334943771362305
