total timesteps,time_elapsed,eplenmean,n_updates,fps,ep_rewmean,current_lr,mean 100 episode reward per step,mean 100 episode reward,episodes,policy_loss,entropy,qf2_loss,qf1_loss,ent_coef_loss,value_loss,ent_coef
3200,81,43.13513513513514,3100,39,-666.8408248648649,0.0003,-19.144642437331616,-666.8,75,76.80864,2.2712793,21.232574,21.376183,-2.2316725,1.809094,0.40249225
3300,83,43.23684210526316,3200,39,-667.0821499736843,0.0003,-19.1346251703411,-667.1,77,81.06398,2.4083486,44.09971,44.436054,-2.6453357,1.9357398,0.39206162
3400,86,42.2125,3300,39,-666.29685965,0.0003,-19.61087047964049,-666.3,81,83.06231,2.3117144,24.735847,25.755842,-2.4358146,1.3132054,0.3815329
3500,88,41.8433734939759,3400,39,-665.5714355301205,0.0003,-19.647295423027966,-665.6,84,81.91838,2.2520866,5979.757,5979.5757,-2.5739675,2.8372855,0.371266
3600,91,41.811764705882354,3500,39,-665.0671361176471,0.0003,-19.569212976427274,-665.1,86,82.57683,2.3679981,1983.8661,1985.2516,-2.909282,1.2948658,0.36107206
3700,93,42.03448275862069,3600,39,-664.9212429885058,0.0003,-19.413901429105522,-664.9,88,83.06929,2.3435473,36.97212,37.74617,-2.6392012,1.9791245,0.35110205
3800,96,42.17977528089887,3700,39,-664.7830789662922,0.0003,-19.282885804998955,-664.8,90,86.89462,2.2087884,1968.4678,1969.7632,-2.093398,1.3850458,0.34234542
3900,98,42.83516483516483,3800,39,-667.7126841868132,0.0003,-19.110720077734612,-667.7,92,90.40133,2.1959457,1937.675,1936.8522,-2.3595433,3.5368407,0.33375487
4000,101,42.42553191489362,3900,39,-666.753259787234,0.0003,-19.182714188627205,-666.8,95,90.95103,2.0198786,1950.7593,1954.4845,-2.2703032,3.7752333,0.32590398
4100,103,42.25773195876289,4000,39,-666.2353042783506,0.0003,-19.137658346045413,-666.2,98,88.492065,2.2033203,3775.3792,3778.1414,-1.846556,3.2478085,0.31859952
4200,106,42.285714285714285,4100,39,-665.8902031020408,0.0003,-19.08578096816526,-665.9,99,90.33815,2.1373596,1870.1523,1872.0225,-2.4512568,4.2434707,0.31083715
4300,108,42.97,4200,39,-667.8529470300001,0.0003,-18.90554153466478,-667.9,101,91.235214,2.1873662,1917.8792,1925.5364,-2.2598133,12.634247,0.30300936
4400,111,42.48,4300,39,-667.29883275,0.0003,-19.0665022155899,-667.3,102,93.01793,2.0797436,3681.6077,3680.8909,-2.261107,4.8734226,0.29570666
4500,114,42.48,4400,39,-667.29883275,0.0003,-19.0665022155899,-667.3,102,90.21257,1.9978365,1812.4437,1813.7391,-2.5644214,6.4615335,0.28840545
4600,116,44.4,4500,39,-667.95852268,0.0003,-19.006154823280227,-668.0,103,105.12741,2.0999165,3579.091,3580.3213,-2.2609744,13.477946,0.281557
4700,119,44.37,4600,39,-668.1930910299999,0.0003,-19.018023200926056,-668.2,104,100.65297,2.0991216,25.543484,26.220055,-2.394462,7.56059,0.27481422
4800,121,44.22,4700,39,-667.49434271,0.0003,-19.06500801741446,-667.5,107,101.64545,2.0016894,18.478973,15.362057,-2.4116936,3.9822655,0.26852217
4900,124,44.2,4800,39,-668.1365506100001,0.0003,-19.11424192660789,-668.1,109,99.383606,1.9382896,44.461746,43.09749,-2.0519047,4.018722,0.2633675
5000,126,44.57,4900,39,-667.75847698,0.0003,-18.90796302054389,-667.8,111,99.60339,2.2339435,6894.497,6896.8457,-2.7658706,7.0619893,0.2577935
5100,129,45.89,5000,39,-669.0320950299999,0.0003,-18.611900575548663,-669.0,112,112.45069,2.0631592,5141.4824,5147.743,-2.590005,14.640463,0.25207508
5200,131,46.0,5100,39,-668.5586083200001,0.0003,-18.5884356808436,-668.6,113,98.72213,2.0201576,3855.8242,3856.3271,-2.1623423,4.7002015,0.24664971
5300,134,46.0,5200,39,-668.5586083200001,0.0003,-18.5884356808436,-668.6,113,107.303734,1.9916209,25.06971,25.994898,-2.163588,7.9160066,0.24123673
5400,136,46.0,5300,39,-668.5586083200001,0.0003,-18.5884356808436,-668.6,113,104.13292,1.9438767,23.368956,21.174797,-1.2983704,5.0765414,0.23587371
5500,139,48.52,5400,39,-667.10022759,0.0003,-18.428663231122698,-667.1,114,104.16701,1.8222079,18.924545,17.898016,-0.7796042,11.709211,0.23239604
5600,141,48.52,5500,39,-667.10022759,0.0003,-18.428663231122698,-667.1,114,105.75931,1.921166,38.96339,38.022434,-1.6497427,5.079735,0.22966526
5700,144,48.52,5600,39,-667.10022759,0.0003,-18.428663231122698,-667.1,114,109.14005,1.975686,5037.9414,5038.6265,-1.7686216,7.5055285,0.22544464
5800,146,51.0,5700,39,-667.08066022,0.0003,-18.32482446685045,-667.1,115,113.5262,1.87867,5274.7383,5273.309,-1.5644382,8.02236,0.22125924
5900,149,51.0,5800,39,-667.08066022,0.0003,-18.32482446685045,-667.1,115,115.99608,1.8628511,1614.0763,1610.7249,-1.2362427,6.8855624,0.2175219
6000,151,52.76,5900,39,-667.4742571699999,0.0003,-18.174578804374676,-667.5,116,115.951706,1.7382643,1621.8246,1615.9526,-0.9006454,8.965193,0.21516004
6100,154,52.76,6000,39,-667.4742571699999,0.0003,-18.174578804374676,-667.5,116,117.1357,1.9396422,12.22464,11.756065,-1.985864,10.679283,0.21209918
6200,156,53.77,6100,39,-666.9958573700001,0.0003,-17.938820091436604,-667.0,118,115.80748,1.7360275,12.26337,14.578808,-1.2518203,10.178322,0.20940968
6300,159,53.89,6200,39,-666.8558863700001,0.0003,-17.919078163906814,-666.9,119,114.547676,1.9217087,3510.2068,3493.2588,-0.9409144,6.172714,0.20695642
6400,161,53.89,6300,39,-666.8558863700001,0.0003,-17.919078163906814,-666.9,119,115.99727,1.8918672,3044.7808,3041.2212,-1.2449075,11.153786,0.20392516
6500,164,53.89,6400,39,-666.8558863700001,0.0003,-17.919078163906814,-666.9,119,115.00517,1.8821309,3013.9873,3012.9238,-1.1810479,9.099609,0.2002693
6600,167,56.75,6500,39,-660.1848937000001,0.0003,-17.664490556787797,-660.2,121,121.76059,1.9474514,2984.8333,2983.8599,-0.9122759,14.054443,0.19737771
6700,169,57.57,6600,39,-660.1084270200001,0.0003,-17.467183876863647,-660.1,122,115.92586,1.6310623,3114.8838,3147.2703,-1.2403258,8.556946,0.19419746
6800,172,57.57,6700,39,-660.1084270200001,0.0003,-17.467183876863647,-660.1,122,118.30008,1.7915695,4387.5996,4383.0293,-0.9587349,14.072849,0.19162415
6900,174,58.68,6800,39,-660.0938602599999,0.0003,-17.331865232591063,-660.1,123,119.26802,1.7012644,41.86004,40.15223,-0.41483676,8.969403,0.18847822
7000,177,59.63,6900,39,-660.4272052,0.0003,-17.23949356006154,-660.4,124,125.68388,1.8601108,5756.772,5749.44,-0.20378736,25.478191,0.18681563
7100,179,59.63,7000,39,-660.4272052,0.0003,-17.23949356006154,-660.4,124,118.273384,1.8850534,1467.7018,1459.3469,-0.90959007,6.463109,0.18432881
7200,182,59.63,7100,39,-660.4272052,0.0003,-17.23949356006154,-660.4,124,117.111145,1.7509683,18.864979,18.054195,-0.93580496,18.476004,0.18130858
7300,184,62.24,7200,39,-654.90886091,0.0003,-17.07458116395836,-654.9,125,115.45497,1.8348616,1437.1594,1431.3682,-1.8373617,5.720077,0.17793502
7400,187,62.24,7300,39,-654.90886091,0.0003,-17.07458116395836,-654.9,125,114.58151,1.7689862,1394.0864,1391.7532,-1.7396647,4.9045677,0.1744337
7500,189,63.54,7400,39,-655.0390177400001,0.0003,-16.864512084947066,-655.0,126,119.64302,1.7379649,4185.481,4180.795,-0.56166935,6.7670627,0.17172898
7600,192,63.54,7500,39,-655.0390177400001,0.0003,-16.864512084947066,-655.0,126,122.80037,1.7156308,22.717278,22.544998,-0.7064215,11.932739,0.16838805
7700,194,63.54,7600,39,-655.0390177400001,0.0003,-16.864512084947066,-655.0,126,121.22563,1.8267367,1373.5343,1369.4232,-1.159262,8.159917,0.16423751
7800,197,66.43,7700,39,-649.3030772400001,0.0003,-16.399164537752004,-649.3,128,121.061005,1.7358093,2725.6218,2713.444,-1.3951819,16.521435,0.16109313
7900,199,66.43,7800,39,-649.3030772400001,0.0003,-16.399164537752004,-649.3,128,117.39365,1.748024,1425.6074,1426.0295,-1.3629208,7.7998486,0.15894693
8000,202,66.43,7900,39,-649.3030772400001,0.0003,-16.399164537752004,-649.3,128,117.79658,1.7867041,6.9166155,7.300153,-1.802026,10.842434,0.15493521
8100,204,68.2,8000,39,-648.77741581,0.0003,-16.305996093078374,-648.8,129,121.95555,1.8373847,1331.4603,1327.2512,-1.1218596,14.148346,0.15129709
8200,207,68.72,8100,39,-648.26752795,0.0003,-16.26182128642989,-648.3,130,117.51611,1.8533456,1830.9266,1841.9988,-1.4763548,5.5554657,0.14844875
8300,210,68.72,8200,39,-648.26752795,0.0003,-16.26182128642989,-648.3,130,119.517075,1.9760144,9.451241,9.627823,-2.0937705,6.1371126,0.1452394
8400,212,68.72,8300,39,-648.26752795,0.0003,-16.26182128642989,-648.3,130,126.06227,1.7392623,4274.0654,4288.834,-0.5504912,12.433531,0.1404847
8500,215,71.42,8400,39,-643.3819207199999,0.0003,-16.062604992075435,-643.4,131,122.827896,1.7179986,12.566847,11.962975,-1.0009575,10.25675,0.13701494
8600,217,71.42,8500,39,-643.3819207199999,0.0003,-16.062604992075435,-643.4,131,116.97984,1.7309744,9.625529,12.535649,-1.5926883,2.4816923,0.1326983
8700,220,71.42,8600,39,-643.3819207199999,0.0003,-16.062604992075435,-643.4,131,120.94495,1.7980387,43.524956,41.45864,-2.6953743,12.197941,0.12889938
