obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,0.9999999403953552,0.1639088940674591,-82.2175064086914,0.00018318988441023976,0.15819427371025085,0.779155433177948,-82.21751403808594,0.00017956955707632005,0.2035800814628601,0.4018189013004303,-39.99000930786133,0.0776495486497879,0.7271448373794556,30.246153846153845,65.0,-643.9940185546875,-643.9940185546875,18.345624923706055,18.345624923706055,44.801419734954834,65.0,1,2000,44.64144243267286,80.23957824707031,9261.583984375,0.5168274641036987
0.0,0.9999999403953552,0.13433062777208762,-155.27456665039062,3.511801332933828e-05,0.4236389696598053,0.46548059582710266,-155.27456665039062,3.1801857403479517e-05,-0.08953700959682465,0.32264742255210876,-78.60453033447266,0.1450880765914917,0.6946977376937866,29.69402985074627,134.0,-643.8064575195312,-644.151611328125,26.828046798706055,24.661121368408203,89.17066764831543,134.0,2,4000,44.8578002777303,153.7983856201172,6219.078125,0.4183442294597626
0.0,0.9999999403953552,0.12405208101303944,-221.06443786621094,0.00016902381321415305,-0.003350496292114258,0.9752000570297241,-221.0643768310547,0.0001702569134067744,0.0009910166263580322,0.9742883443832397,-114.53736114501953,0.10459738224744797,0.7277050018310547,27.195454545454545,220.0,-640.6634521484375,-637.4146728515625,18.96698760986328,20.996517181396484,134.24178814888,220.0,3,6000,44.6954713784484,219.41183471679688,5215.89013671875,0.04878407344222069
0.0,0.9999999403953552,0.12160776493778987,-282.68963623046875,0.00015220594650600106,-0.021018564701080322,0.9629838466644287,-282.6897277832031,0.00014196620031725615,-0.08561429381370544,0.9043424725532532,-148.82913208007812,0.09229093790054321,0.7546466588973999,26.143790849673202,306.0,-639.9900512695312,-637.6015625,20.455732345581055,21.24347686767578,179.07965779304504,306.0,4,8000,44.67285731160638,281.42852783203125,3574.3876953125,0.19947053492069244
0.0,0.9999999403953552,0.11230273064362171,-334.26275634765625,0.00014324174844659865,-0.06625565886497498,0.9237921833992004,-334.26263427734375,0.0001671951758908108,-0.07999265193939209,0.8333583474159241,-180.84727478027344,-0.013813049532473087,0.7576270699501038,26.307894736842105,380.0,-639.950439453125,-638.9385986328125,17.14099884033203,20.528905868530273,223.98189067840576,380.0,5,10000,44.64646659473933,333.51031494140625,2176.08544921875,0.213408961892128
0.0,0.9999999403953552,0.11921161154572088,-380.3857421875,0.00031412820680998266,-0.0030674338340759277,0.9925329089164734,-380.3857421875,0.00029568211175501347,0.03380459547042847,0.9555041790008545,-210.12620544433594,-0.0225567277520895,0.783433735370636,25.29535864978903,474.0,-640.00341796875,-640.983642578125,51.85878372192383,29.93106460571289,268.7408938407898,474.0,6,12000,44.65267577441772,379.03350830078125,2161.5712890625,0.027632705867290497
0.0,0.9999999403953552,0.12160776493778987,-416.861572265625,0.00016456340381409973,0.06354513764381409,0.8863377571105957,-416.8616943359375,0.00010356042184866965,-0.007859915494918823,0.9806672930717468,-236.98963928222656,-0.02673819102346897,0.7983433604240417,24.761061946902654,565.0,-639.4531860351562,-636.22900390625,17.54796028137207,28.39767074584961,313.68240880966187,565.0,7,14000,44.631128832267436,416.38458251953125,1309.2674560546875,0.283636212348938
0.0,0.9999999403953552,0.12908909295101373,-446.5962219238281,2.320389830856584e-05,0.0013230741024017334,0.9958834052085876,-446.5962219238281,2.0542773199849762e-05,0.20619073510169983,0.7927660942077637,-261.4020080566406,-0.016602184623479843,0.8043808341026306,24.645608628659478,649.0,-638.624267578125,-633.3103637695312,8.717917442321777,26.77245330810547,358.92544412612915,649.0,8,16000,44.57750282640168,446.0927429199219,893.8814086914062,0.05330638960003853
0.0,0.9999999403953552,0.14546082105423475,-468.54974365234375,0.0002432149922242388,0.00043585896492004395,0.9984036087989807,-468.5496826171875,0.00023453409085050225,-0.00012063980102539062,0.9995320439338684,-283.2129821777344,-0.010483773425221443,0.8195806741714478,24.12734584450402,746.0,-637.5586547851562,-630.456787109375,8.996297836303711,25.337202072143555,403.96528792381287,746.0,9,18000,44.558283936997,467.9947509765625,817.9896850585938,0.0018944586627185345
0.0,0.9999999403953552,0.16390889406745915,-486.0224609375,0.0001634988293517381,0.0001875758171081543,0.9989951252937317,-486.02215576171875,7.543075480498374e-05,0.44445791840553284,0.4541422128677368,-302.6452941894531,-0.0030940216965973377,0.8280419111251831,23.748510131108464,839.0,-637.4424438476562,-636.0156860351562,23.356430053710938,25.20380401611328,448.65888929367065,839.0,10,20000,44.57729575242843,485.4649658203125,574.5426635742188,0.22704263031482697
0.0,0.9999999403953552,0.18469664449646248,-498.69207763671875,0.14111067354679108,-1.7285346984863281e-06,0.9999962449073792,-498.3766174316406,0.22479429841041565,0.022120296955108643,0.9780389070510864,-319.8796691894531,-0.0013352596433833241,0.8391258120536804,23.445628997867804,938.0,-637.0081176757812,-633.3650512695312,18.595779418945312,24.629995346069336,493.46324729919434,938.0,11,22000,44.58285418500694,497.27618408203125,501.53167724609375,0.02602393925189972
0.0,0.9999999403953552,0.21657134112561607,-504.92864990234375,34.06998062133789,-4.470348358154297e-07,0.999999463558197,-504.8943176269531,34.51863098144531,0.0004864931106567383,0.9995139241218567,-334.7236633300781,-0.0027190104592591524,0.8524993062019348,23.096246390760346,1039.0,-636.2205200195312,-628.9649047851562,6.347831726074219,23.608036041259766,538.3869142532349,1039.0,12,24000,44.577606484527955,500.4501953125,89.919677734375,0.6304547190666199
