entloss,EpLenMean,TimeElapsed,EpisodesSoFar,entropy,EpRew/step,TimestepsSoFar,meankl,surrgain,explained_variance_tdlam_before,EpThisIter,EpRewMean,optimgain
0.0,65.73333333333333,163.0778932571411,15,1.6029869,-0.4104058119560342,1024,0.0064690616,0.036542237,-0.0705716609954834,15,-26.215432200000002,0.036542237
0.0,72.33333333333333,324.47174286842346,27,1.5951403,-0.4104214793916281,2048,0.008336412,0.035175156,-0.17956197261810303,12,-29.294220370370365,0.035175156
0.0,72.875,485.35608959198,41,1.5793564,-0.4135929860903225,3072,0.009419533,0.049886547,-0.2607879638671875,14,-29.4764085,0.049886547
0.0,82.925,645.5821888446808,51,1.5672358,-0.40835170668200266,4096,0.007867968,0.03619121,0.038869619369506836,10,-32.7575741,0.03619121
0.0,73.975,808.0530424118042,68,1.5383272,-0.3859534218372661,5120,0.009075517,0.052292325,-0.05175602436065674,17,-28.143775675,0.052292325
0.0,84.7,969.5651273727417,75,1.5295308,-0.3719966704398471,6144,0.009274562,0.03968343,-0.040177345275878906,7,-30.510830875,0.03968343
0.0,104.075,1130.7390496730804,81,1.5000526,-0.35283598137365707,7168,0.008819035,0.043655436,0.2762247323989868,6,-35.1126052,0.043655436
0.0,108.525,1289.5353872776031,88,1.4312645,-0.34264673615381414,8192,0.008955394,0.03898197,0.18940919637680054,7,-35.483512425,0.03898197
0.0,125.2,1449.9414308071136,95,1.4054241,-0.3327227944539855,9216,0.008801384,0.04083699,0.1787945032119751,7,-39.21437755,0.04083699
0.0,135.5,1612.10205245018,104,1.4328418,-0.32159235261565783,10240,0.007968683,0.037779417,-0.03515732288360596,9,-40.99650079999999,0.037779417
0.0,140.0,1774.9138650894165,113,1.3971483,-0.31152157255099,11264,0.009168944,0.044585165,0.10368591547012329,9,-40.990423725,0.044585165
0.0,138.35,1934.775934934616,118,1.34448,-0.3132151515914336,12288,0.009294232,0.039577134,-0.010454058647155762,5,-40.134818474999996,0.039577134
0.0,140.15,2091.6144337654114,124,1.3317182,-0.2989884335847905,13312,0.00906662,0.040304437,0.2099437713623047,6,-38.33915385,0.040304437
0.0,153.25,2251.082172393799,129,1.3070972,-0.2899587012934029,14336,0.008825285,0.039391026,0.03933858871459961,5,-39.687971875,0.039391026
0.0,149.4,2462.955248594284,136,1.2190932,-0.2909597730557366,15360,0.009240846,0.040229585,0.09760439395904541,7,-37.96088935,0.040229585
0.0,156.55,2624.012846469879,143,1.2205905,-0.28205307526323964,16384,0.009642059,0.040979013,0.23901528120040894,7,-38.69816615,0.040979013
0.0,167.625,2783.854974269867,148,1.2780683,-0.26996451011426253,17408,0.009597372,0.039150894,-0.0328524112701416,5,-39.72191745,0.039150894
0.0,166.75,2946.1745784282684,157,1.1911955,-0.25429283506946054,18432,0.009819354,0.038912397,-0.043800950050354004,9,-37.99159495,0.038912397
0.0,143.2,3107.7147128582,166,1.1731302,-0.265266701375168,19456,0.009506617,0.042879764,-0.14447414875030518,9,-31.64023745,0.042879764
0.0,135.575,3260.1587846279144,173,1.1606864,-0.2647619214291669,20480,0.009551477,0.038666394,0.06782841682434082,7,-29.270956074999997,0.038666394
0.0,146.175,3409.9855852127075,178,1.2226554,-0.2557179234426482,21504,0.009562109,0.03746947,-0.027775049209594727,5,-29.786658275,0.03746947
0.0,152.25,3560.4886903762817,184,1.235996,-0.25329538137145097,22528,0.009698592,0.047308378,0.09105437994003296,6,-29.640445525,0.047308378
0.0,136.575,3714.8380739688873,192,1.2241817,-0.2680051845540991,23552,0.009135162,0.04210901,0.11830306053161621,8,-27.809347324999997,0.04210901
0.0,137.3,3868.3720173835754,201,1.1570328,-0.2730103716602314,24576,0.009099089,0.032798715,0.1572614312171936,9,-28.979169274999997,0.032798715
0.0,131.45,4027.0876684188843,212,1.1225045,-0.27288197251565205,25600,0.009347104,0.04393857,-0.01587069034576416,11,-28.851441850000004,0.04393857
0.0,117.825,4177.021855354309,220,1.2245654,-0.2826944475881546,26624,0.010139927,0.07340888,0.06021767854690552,8,-27.55327605,0.07340888
0.0,115.825,4327.1961624622345,227,1.2261586,-0.28504052865286356,27648,0.00950721,0.034717187,-0.004532575607299805,7,-29.044273699999998,0.034717187
0.0,131.75,4479.07604598999,232,1.1193426,-0.2766029133008685,28672,0.008449776,0.034804247,0.16216129064559937,5,-31.88922255,0.034804247
0.0,120.675,4632.639127492905,242,1.1332873,-0.28840886462660686,29696,0.010056519,0.035144396,0.19752413034439087,10,-29.666206699999996,0.035144396
0.0,126.0,4788.4466552734375,253,1.0386461,-0.2934367996109528,30720,0.009775276,0.038286857,0.025923550128936768,11,-30.496263024999998,0.038286857
0.0,129.1,4941.160175323486,260,1.1297437,-0.2873723796999412,31744,0.010066496,0.036556214,0.06453573703765869,7,-30.7412375,0.036556214
0.0,111.0,5091.513568878174,270,0.9737622,-0.299899837909731,32768,0.009178367,0.035489313,0.3132566809654236,10,-27.49938605,0.035489313
0.0,108.625,5243.542309999466,279,1.1055543,-0.29714173162425717,33792,0.01354716,0.050897405,0.287131667137146,9,-27.787164125000004,0.050897405
0.0,108.475,5446.157775878906,289,1.1439446,-0.3016884071069924,34816,0.009596095,0.03141416,0.015469610691070557,10,-28.6190023,0.03141416
0.0,125.225,5630.335310935974,294,1.0136834,-0.29176924314448455,35840,0.008727065,0.0343409,0.30773890018463135,5,-32.659151924999996,0.0343409
0.0,126.45,5782.369711637497,300,1.0082039,-0.29071980446990864,36864,0.010414392,0.059803177,0.052655160427093506,6,-33.961873775,0.059803177
0.0,142.475,5934.00971698761,304,0.97720754,-0.28893500962544294,37888,0.011725742,0.058265083,0.18036460876464844,4,-38.452036699999994,0.058265083
0.0,155.525,6083.222326517105,309,0.9829795,-0.2819703057460815,38912,0.008569979,0.0618411,0.36118757724761963,5,-41.13829455,0.0618411
0.0,168.825,6274.389306545258,315,1.0855364,-0.27275867513851465,39936,0.010282749,0.031694293,0.30353885889053345,6,-44.230515225,0.031694293
0.0,171.9,6426.3586139678955,321,1.1188664,-0.2695824805843762,40960,0.004967519,0.02494161,-0.12677860260009766,6,-43.663772449999996,0.02494161
0.0,179.525,6577.65584897995,327,1.1043959,-0.26911315635895644,41984,0.010332052,0.044253834,0.23372280597686768,6,-45.1127643,0.044253834
0.0,183.6,6729.877663373947,333,1.1335089,-0.26378475119722805,43008,0.0077949874,0.042266067,-0.7981681823730469,6,-44.84856685,0.042266067
0.0,172.025,6888.514400005341,341,1.1156287,-0.271859238259769,44032,0.009598925,0.03610172,0.14197832345962524,8,-41.300092725,0.03610172
0.0,145.675,7042.853763818741,352,1.0549785,-0.27176478812653276,45056,0.008971973,0.034261778,-1.4865760803222656,11,-33.717656875,0.034261778
0.0,129.875,7195.3352518081665,361,1.1168619,-0.2864994519444612,46080,0.008429268,0.030570887,-0.28375244140625,9,-30.176342174999995,0.030570887
0.0,118.275,7346.442490100861,370,1.0805023,-0.28209441145855385,47104,0.009311857,0.03845173,0.1797018051147461,9,-27.8187593,0.03845173
0.0,107.525,7501.297011852264,380,1.0392637,-0.282388972125046,48128,0.010013658,0.03893312,0.2515662908554077,10,-25.6730881,0.03893312
0.0,109.175,7656.989588499069,385,0.9337119,-0.28020081429829463,49152,0.009616963,0.03597968,0.19442909955978394,5,-25.742575625,0.03597968
0.0,133.15,7809.914443016052,390,1.0607616,-0.2674251018470849,50176,0.009748058,0.043522406,0.20184743404388428,5,-29.783752425,0.043522406
0.0,146.8,7961.655980587006,396,0.9852386,-0.260628325484121,51200,0.009375949,0.03575138,-0.12149333953857422,6,-31.737483725000004,0.03575138
0.0,156.2,8112.970452308655,400,0.9111533,-0.2438769119175303,52224,0.008994583,0.034744468,0.1601353883743286,4,-32.319328,0.034744468
0.0,159.05,8269.863328456879,407,0.89582175,-0.24647106744501218,53248,0.010243095,0.040882703,0.2313482165336609,7,-33.31584410000001,0.040882703
0.0,166.725,8425.302608251572,414,0.9433273,-0.24820313240676076,54272,0.009544265,0.038890116,0.25788289308547974,7,-33.750344299999995,0.038890116
