fps,ep_rewmean,mean 100 episode reward per step,time_elapsed,n_updates,mean 100 episode reward,episodes,total timesteps,current_lr,eplenmean,value_loss,policy_loss,ent_coef,qf2_loss,qf1_loss,ent_coef_loss,entropy
5,-672.3316092238805,-17.845479318122234,595,3100,-672.3,68,3200,0.0003,47.43283582089552,9.379199,72.6685,0.39059907,2142.559,2143.267,-2.6958618,2.5321004
5,-671.7385896857141,-17.909885478098065,614,3200,-671.7,71,3300,0.0003,46.97142857142857,0.7129321,71.59244,0.3800426,4208.6035,4208.4297,-2.7978616,2.4763322
5,-670.5748721891891,-18.37551537116965,632,3300,-670.6,75,3400,0.0003,45.851351351351354,1.4449041,74.511215,0.36916983,2087.8923,2087.202,-3.1113749,2.3712206
5,-670.1857451973683,-18.30405568194717,653,3400,-670.2,77,3500,0.0003,45.80263157894737,0.36193553,78.80521,0.35832527,2067.9163,2068.5679,-3.0057034,2.5642152
5,-670.119730949367,-18.443450032717777,671,3500,-670.1,80,3600,0.0003,45.392405063291136,0.7169652,77.334816,0.34809175,2053.9736,2054.3955,-3.318234,2.5118334
5,-669.4735070864198,-18.514583468442872,689,3600,-669.5,82,3700,0.0003,45.04938271604938,1.8767606,83.23657,0.3382747,38.16187,39.003983,-3.194079,2.4556146
5,-669.8004664523809,-18.43664415472631,706,3700,-669.8,85,3800,0.0003,44.976190476190474,1.617722,87.2001,0.3287557,8004.301,8003.692,-3.0186565,2.5140316
5,-669.6624668505747,-18.47984928485751,724,3800,-669.7,88,3900,0.0003,44.632183908045974,0.8581768,91.16524,0.319036,3977.8394,3978.8433,-3.4981647,2.5889814
5,-670.0921042111112,-18.6107486883383,742,3900,-670.1,91,4000,0.0003,44.333333333333336,2.615089,84.63081,0.3091841,4341.921,4343.549,-3.4681587,2.424628
5,-669.3585551182795,-18.610901634134795,760,4000,-669.4,94,4100,0.0003,44.03225806451613,1.3139341,92.91738,0.30017772,1970.2549,1972.2089,-3.6816816,2.3999767
5,-669.3583019042553,-18.483414135517823,777,4100,-669.4,95,4200,0.0003,44.638297872340424,0.5077902,93.468216,0.2912767,1946.6171,1946.5492,-3.7598033,2.4180293
5,-669.1339989473684,-18.585442051318207,794,4200,-669.1,96,4300,0.0003,44.410526315789475,0.36264354,94.05528,0.28276965,37.05179,35.873817,-3.9729433,2.5680952
5,-669.70567784375,-18.442801971764855,811,4300,-669.7,97,4400,0.0003,45.489583333333336,0.5769423,97.71203,0.27416515,1906.5438,1907.2998,-3.6584425,2.5470686
5,-669.5604650306122,-18.34928462294677,828,4400,-669.6,99,4500,0.0003,45.54081632653061,0.80092305,100.49301,0.2661352,1924.4052,1925.9064,-4.1493225,2.446005
5,-669.5889059599999,-18.255834357713674,845,4500,-669.6,101,4600,0.0003,45.82,3.8918269,100.007774,0.25875786,3762.5337,3764.1123,-3.949362,2.3654566
5,-668.78822722,-18.671850003545444,863,4600,-668.8,105,4700,0.0003,44.32,4.279229,104.12401,0.25178266,1869.0071,1873.2631,-3.90948,2.460778
5,-668.56815055,-18.678965720771767,880,4700,-668.6,107,4800,0.0003,44.46,1.5180188,100.68581,0.2450121,1873.7974,1872.8945,-2.9900932,2.2216725
5,-668.09204287,-19.246146572253423,898,4800,-668.1,111,4900,0.0003,43.74,3.2868967,107.13535,0.23920004,1848.0725,1851.6394,-2.0910382,1.9961897
5,-669.8499955999999,-19.044162266588796,916,4900,-669.8,113,5000,0.0003,44.14,2.3459954,107.896194,0.23348887,52.399643,52.770218,-3.6140754,2.2517555
5,-666.90654941,-19.128512101574962,934,5000,-666.9,116,5100,0.0003,43.99,1.5008435,109.20076,0.22762737,27.56232,26.908249,-3.1460667,2.3323593
5,-666.4504011400002,-19.065066496700226,953,5100,-666.5,117,5200,0.0003,44.24,1.697458,113.810394,0.22186461,1785.4586,1785.2045,-3.671751,2.441558
5,-668.7388937800001,-19.103521265910544,971,5200,-668.7,118,5300,0.0003,44.16,2.18201,118.87076,0.2166684,1820.1011,1818.0962,-3.5286164,2.4011326
5,-668.8061091899998,-18.860001711274894,989,5300,-668.8,120,5400,0.0003,44.89,4.1989307,117.65209,0.2114614,1757.9944,1760.2825,-3.52408,2.5599365
5,-668.8061091899998,-18.860001711274894,1007,5400,-668.8,120,5500,0.0003,44.89,6.9532213,122.26477,0.20569916,27.905256,30.585114,-3.8446813,2.3041675
5,-674.9872127299999,-18.769129442365585,1024,5500,-675.0,121,5600,0.0003,46.28,1.1069815,122.102234,0.20076415,33.038544,33.831165,-3.5486355,2.4852884
5,-674.35139014,-18.88551950948686,1042,5600,-674.4,123,5700,0.0003,46.36,7.0642548,123.790115,0.19565518,5082.4995,5084.0967,-3.5425353,2.3126433
5,-673.6445620900001,-18.848961716919963,1060,5700,-673.6,124,5800,0.0003,46.52,20.238255,127.368774,0.19048649,1718.3372,1716.1835,-4.395562,2.5168695
5,-673.5832740500002,-18.930080142796566,1078,5800,-673.6,126,5900,0.0003,45.98,5.3360815,130.86487,0.18482569,3352.043,3352.3557,-4.1168737,2.387456
5,-674.4879219,-18.9746400993644,1097,5900,-674.5,129,6000,0.0003,45.72,7.996978,133.52458,0.18028082,42.493397,40.83274,-4.5217237,2.2335174
5,-671.74347644,-19.515648650350602,1114,6000,-671.7,132,6100,0.0003,44.08,2.795726,131.6575,0.17522112,4948.564,4952.0933,-4.1906404,2.3437939
5,-671.33367325,-19.57406021026692,1132,6100,-671.3,134,6200,0.0003,43.85,9.282782,134.60187,0.17039847,6501.219,6502.4346,-4.5923686,2.5084593
5,-670.94826858,-19.71512273421623,1150,6200,-670.9,137,6300,0.0003,42.84,3.8135357,133.5787,0.16528025,4857.619,4861.975,-3.3025851,2.0855696
5,-669.02623512,-19.841846169290562,1168,6300,-669.0,139,6400,0.0003,42.5,6.1082296,134.83627,0.160756,3533.0742,3524.3052,-2.9326043,2.111433
5,-669.7217746699998,-19.93396196668897,1185,6400,-669.7,141,6500,0.0003,42.39,7.177202,136.77223,0.15609121,15.754965,16.897041,-4.0611887,2.161664
5,-670.4969169799999,-19.70540897632857,1203,6500,-670.5,143,6600,0.0003,43.23,19.336708,136.61505,0.15152717,3140.0002,3143.1575,-4.597728,2.3118556
5,-670.9549270100001,-19.571820340516705,1223,6600,-671.0,144,6700,0.0003,43.95,9.643129,147.068,0.14707948,1570.6592,1571.2211,-5.297656,2.4216676
5,-669.82869861,-19.574109160105703,1241,6700,-669.8,147,6800,0.0003,43.88,1.4148054,144.79712,0.14271331,1562.3109,1563.6798,-4.8464684,2.3234205
5,-670.6729751999999,-19.439569871498882,1259,6800,-670.7,148,6900,0.0003,44.53,2.2853289,152.87178,0.13846864,1536.6156,1537.0486,-5.172103,2.3856945
5,-670.4005076,-19.577227314924794,1277,6900,-670.4,150,7000,0.0003,44.44,4.8560963,150.02856,0.13447179,61.33899,64.56494,-3.5813656,2.114188
5,-672.8982731699999,-19.371582881028676,1295,7000,-672.9,152,7100,0.0003,45.31,10.553247,146.91106,0.13102162,4514.256,4516.935,-3.3730047,2.3338215
5,-671.41545083,-19.604701595059762,1313,7100,-671.4,156,7200,0.0003,44.38,4.577423,147.88086,0.12767182,18.14581,16.022253,-4.374976,2.2475662
5,-672.2050122700001,-19.453356630878258,1331,7200,-672.2,158,7300,0.0003,44.78,3.8920724,155.00775,0.12426652,4460.755,4466.505,-4.4985447,2.2525892
5,-672.3347857499998,-19.61803116520411,1350,7300,-672.3,161,7400,0.0003,44.48,5.5194445,158.12843,0.1214894,1491.4973,1491.6647,-3.6900434,2.1546788
5,-671.9299392,-19.618192818053178,1367,7400,-671.9,163,7500,0.0003,44.53,5.5324144,160.10123,0.118857145,2897.8384,2897.2104,-3.7508185,2.3363862
5,-671.97679858,-19.327417788314726,1385,7500,-672.0,165,7600,0.0003,44.98,2.5028691,156.5979,0.115847446,1449.83,1456.6622,-4.3886766,2.2465324
5,-671.24028267,-19.5540612523256,1403,7600,-671.2,169,7700,0.0003,44.64,2.5376601,159.70383,0.11295577,1450.2892,1451.3026,-2.7692227,2.1890235
5,-670.7736704499999,-19.473250913142046,1423,7700,-670.8,172,7800,0.0003,44.67,4.397631,165.2095,0.11029181,1417.3167,1422.9742,-4.086152,2.550332
5,-670.8797319000001,-19.32540364518767,1440,7800,-670.9,175,7900,0.0003,44.93,19.440174,168.32559,0.10694787,42.14982,36.529167,-4.6901846,2.3425572
5,-671.29395634,-19.445229652368926,1459,7900,-671.3,178,8000,0.0003,44.7,4.478207,168.17734,0.10397643,1396.4989,1400.9377,-5.152935,2.2682068
5,-670.9406317500001,-19.74227242679302,1477,8000,-670.9,182,8100,0.0003,44.49,3.8393486,168.19666,0.10147862,4156.283,4158.7676,-3.907742,1.9872425
5,-669.11053602,-20.40582238087392,1495,8100,-669.1,186,8200,0.0003,43.71,4.5982866,169.25926,0.09935087,2763.9868,2765.1685,-2.7522936,2.081067
5,-668.2100803800001,-20.851922781910048,1512,8200,-668.2,191,8300,0.0003,43.07,4.9703374,167.07031,0.09737609,47.862953,51.661224,-1.9455149,2.0802734
5,-667.6494927099998,-21.881496165460334,1531,8300,-667.6,196,8400,0.0003,41.65,3.934135,173.824,0.0956741,38.737404,40.968372,-3.721541,1.9810278
5,-666.4094875099998,-22.692311692523745,1551,8400,-666.4,200,8500,0.0003,39.34,3.438696,175.36014,0.093591794,2632.6853,2641.8394,-3.866938,2.1452677
5,-665.32499024,-23.423061774736734,1568,8500,-665.3,205,8600,0.0003,38.72,4.0908966,176.12935,0.091433205,5166.5986,5190.364,-3.6922462,2.0732927
5,-664.2667584099999,-23.50376467417362,1587,8600,-664.3,210,8700,0.0003,38.26,4.3649726,173.56497,0.08967302,16.45003,18.832703,-2.8235383,1.8027562
