steps,mean 100 episode reward per step,episodes,% time spent exploring,mean 100 episode reward
14400,-0.16569274288935162,143,71,-15.6
14500,-0.16556077368321265,144,71,-15.6
14600,-0.16520493921917076,146,71,-15.5
14700,-0.16533018400087776,147,71,-15.3
14800,-0.16533018400087776,147,70,-15.3
14900,-0.16373607243200208,148,70,-15.3
15000,-0.16373607243200208,148,70,-15.3
15100,-0.16327390194554856,149,70,-15.5
15200,-0.1618339822181064,150,70,-15.5
15300,-0.16152672322870348,151,70,-15.7
15400,-0.16152672322870348,151,69,-15.7
15500,-0.16098865025502193,152,69,-15.7
15600,-0.16083497713925385,154,69,-15.6
15700,-0.16083497713925385,154,69,-15.6
15800,-0.16051210205073718,155,69,-15.7
15900,-0.16051210205073718,155,68,-15.7
16000,-0.16007371619559252,156,68,-15.8
16100,-0.16029837982806236,157,68,-15.8
16200,-0.16114415041004676,159,68,-15.8
16300,-0.1603191310523159,160,68,-15.7
16400,-0.159511324900723,161,67,-15.8
16500,-0.15985479509264441,162,67,-15.8
16600,-0.1606182495778989,164,67,-15.6
16700,-0.16121076387462982,165,67,-15.5
16800,-0.16121076387462982,165,67,-15.5
16900,-0.16189915608775593,167,66,-15.4
17000,-0.15939888051480464,169,66,-15.3
17100,-0.1591154258313665,170,66,-15.3
17200,-0.157866658415693,171,66,-15.3
17300,-0.15748259707121723,172,66,-15.3
17400,-0.15707104898082203,173,65,-15.3
17500,-0.15707104898082203,173,65,-15.3
17600,-0.15689269891301572,175,65,-15.3
17700,-0.15650192354386236,176,65,-15.3
17800,-0.1565539411217734,178,65,-15.2
17900,-0.1565539411217734,178,64,-15.2
18000,-0.15536487296393067,179,64,-15.2
18100,-0.15491687764488055,181,64,-14.9
18200,-0.1559192601033257,183,64,-14.5
18300,-0.1559192601033257,183,64,-14.5
18400,-0.15528045739474333,184,63,-14.5
18500,-0.15408312535161753,186,63,-14.5
18600,-0.15408312535161753,186,63,-14.5
18700,-0.15300800471407142,187,63,-14.5
18800,-0.15195001940879932,188,63,-14.4
18900,-0.15200855808198116,189,62,-14.2
19000,-0.15200855808198116,189,62,-14.2
19100,-0.1518141344545181,190,62,-14.2
19200,-0.15248664329479714,192,62,-14.2
19300,-0.15248664329479714,192,62,-14.2
19400,-0.1522685023503504,193,61,-14.3
19500,-0.15148529801603822,195,61,-14.1
19600,-0.15148529801603822,195,61,-14.1
19700,-0.1503149982092737,196,61,-14.1
19800,-0.14985970920492472,197,61,-14.0
19900,-0.14950802851143882,199,60,-13.9
20000,-0.149306722159122,200,60,-13.9
20100,-0.14923755113451764,201,60,-13.9
20200,-0.14923755113451764,201,60,-13.9
20300,-0.14823863188695247,202,60,-13.7
20400,-0.14879161227664928,203,60,-13.7
20500,-0.14771838185222902,204,59,-13.7
20600,-0.14771838185222902,204,59,-13.7
20700,-0.14700568772305453,205,59,-13.7
20800,-0.14592101749101904,207,59,-13.7
20900,-0.1450339589829429,208,59,-13.7
21000,-0.1450339589829429,208,58,-13.7
21100,-0.1433576170587548,210,58,-13.6
21200,-0.1433576170587548,210,58,-13.6
21300,-0.1420011675157976,211,58,-13.7
21400,-0.14368563338368576,213,58,-13.5
21500,-0.14351504216474228,214,57,-13.4
21600,-0.14351504216474228,214,57,-13.4
21700,-0.14261464401106444,215,57,-13.4
21800,-0.1425409032044465,216,57,-13.4
21900,-0.1425409032044465,216,57,-13.4
22000,-0.14158919641870177,217,56,-13.2
22100,-0.14320370742079266,220,56,-12.9
22200,-0.14320370742079266,220,56,-12.9
22300,-0.14274941659653018,221,56,-12.9
22400,-0.14159401428795018,222,56,-12.8
22500,-0.14159401428795018,222,55,-12.8
22600,-0.14021298903115947,224,55,-12.8
22700,-0.14021298903115947,224,55,-12.8
22800,-0.13913133501641886,225,55,-12.8
22900,-0.13913133501641886,225,55,-12.8
23000,-0.13918091378003491,226,54,-12.8
23100,-0.13924459581777454,227,54,-12.8
23200,-0.13924459581777454,227,54,-12.8
23300,-0.1380995911033736,228,54,-12.7
23400,-0.13960540927009346,230,54,-12.5
23500,-0.14064892787857514,231,53,-12.6
23600,-0.14026472916910002,232,53,-12.5
23700,-0.14219672512885334,234,53,-12.5
23800,-0.1422327831651269,235,53,-12.6
23900,-0.1406738016441236,237,53,-12.4
24000,-0.14172244608575632,238,52,-12.3
24100,-0.14172244608575632,238,52,-12.3
24200,-0.14202845501102998,239,52,-12.4
24300,-0.14202845501102998,239,52,-12.4
24400,-0.1411471514708563,240,52,-12.3
24500,-0.1411471514708563,240,51,-12.3
24600,-0.13888009536970547,241,51,-12.4
24700,-0.13888009536970547,241,51,-12.4
24800,-0.1393633399131085,243,51,-12.3
24900,-0.14016800224356138,245,51,-12.1
25000,-0.14079798385796463,247,51,-12.1
25100,-0.14079798385796463,247,50,-12.1
25200,-0.14028828935374968,248,50,-12.0
25300,-0.14095923945327804,249,50,-12.0
25400,-0.1411635012254704,250,50,-12.0
25500,-0.1411635012254704,250,50,-12.0
25600,-0.14108624770990866,251,49,-12.0
25700,-0.14056295595347104,253,49,-11.9
25800,-0.14056295595347104,253,49,-11.9
25900,-0.1395609964495736,254,49,-11.9
26000,-0.13992909563591838,255,49,-11.8
26100,-0.14001296964781937,256,48,-11.7
26200,-0.13975413759054,257,48,-11.6
26300,-0.13800869488198525,259,48,-11.6
26400,-0.13757728429810512,260,48,-11.6
26500,-0.1368853490067517,261,48,-11.5
26600,-0.1368853490067517,261,47,-11.5
26700,-0.1355900103312423,262,47,-11.3
26800,-0.1355900103312423,262,47,-11.3
26900,-0.1348821779287071,263,47,-11.4
27000,-0.1348821779287071,263,47,-11.4
27100,-0.13319633037212636,264,46,-11.4
27200,-0.13319633037212636,264,46,-11.4
27300,-0.13124953389811622,265,46,-11.4
27400,-0.13124953389811622,265,46,-11.4
27500,-0.1302125770426905,267,46,-11.3
27600,-0.1302125770426905,267,45,-11.3
27700,-0.13021805015714885,268,45,-11.4
27800,-0.13021805015714885,268,45,-11.4
27900,-0.12987526831568388,269,45,-11.5
28000,-0.13075829261170083,270,45,-11.4
28100,-0.13126602168932983,272,44,-11.4
28200,-0.13126602168932983,272,44,-11.4
28300,-0.1304154456356791,273,44,-11.4
28400,-0.1304154456356791,273,44,-11.4
28500,-0.13086408696893723,274,44,-11.5
28600,-0.13029533710695881,275,43,-11.5
28700,-0.13029533710695881,275,43,-11.5
28800,-0.12931209850823827,276,43,-11.7
28900,-0.12931209850823827,276,43,-11.7
29000,-0.1290501962130604,277,43,-11.7
29100,-0.1290501962130604,277,42,-11.7
29200,-0.12763076299878423,278,42,-11.7
29300,-0.12763076299878423,278,42,-11.7
29400,-0.12754413761059907,279,42,-11.7
29500,-0.12754413761059907,279,42,-11.7
29600,-0.1265633169564072,280,41,-11.8
29700,-0.12607560664707393,281,41,-11.8
29800,-0.12506677830315943,282,41,-11.9
29900,-0.12587646071587275,283,41,-11.9
30000,-0.12587646071587275,283,41,-11.9
30100,-0.12523034396850824,284,41,-11.8
30200,-0.12431117332856162,285,40,-11.7
30300,-0.12431117332856162,285,40,-11.7
30400,-0.12304463290346579,286,40,-11.8
30500,-0.12325553373141723,287,40,-11.7
30600,-0.12325553373141723,287,40,-11.7
30700,-0.12338336971446137,288,39,-11.8
30800,-0.12262496883607552,290,39,-11.6
30900,-0.1216457753705954,291,39,-11.5
31000,-0.1216457753705954,291,39,-11.5
31100,-0.12010696050932199,293,39,-11.3
31200,-0.11997446725434195,294,38,-11.4
31300,-0.11957603275267407,295,38,-11.3
31400,-0.11957603275267407,295,38,-11.3
31500,-0.11911235316524317,296,38,-11.2
31600,-0.12025406595152958,298,38,-11.3
31700,-0.11975919272900099,299,37,-11.3
31800,-0.11975919272900099,299,37,-11.3
31900,-0.11913040063360794,300,37,-11.3
32000,-0.11884976231485346,301,37,-11.2
32100,-0.11933379927973348,302,37,-11.2
32200,-0.11933379927973348,302,36,-11.2
32300,-0.11825859274854505,303,36,-11.2
32400,-0.11825859274854505,303,36,-11.2
32500,-0.11730515890027204,304,36,-11.1
32600,-0.11680631434963624,305,36,-11.0
32700,-0.11680631434963624,305,35,-11.0
32800,-0.11528755560638533,306,35,-10.9
32900,-0.11528755560638533,306,35,-10.9
33000,-0.11444939266414801,307,35,-10.9
33100,-0.11444939266414801,307,35,-10.9
33200,-0.11415476515918219,308,34,-11.0
33300,-0.11418258221197608,309,34,-10.9
33400,-0.1136285570925626,310,34,-11.0
33500,-0.11331594805319747,311,34,-10.8
33600,-0.11331594805319747,311,34,-10.8
33700,-0.11118573186191938,312,33,-10.8
33800,-0.11118573186191938,312,33,-10.8
33900,-0.10868674416696829,313,33,-10.8
34000,-0.10868674416696829,313,33,-10.8
34100,-0.10830855472284581,314,33,-10.8
34200,-0.10830855472284581,314,32,-10.8
34300,-0.10788461391261606,315,32,-10.7
34400,-0.10732045849911627,316,32,-10.6
34500,-0.10732045849911627,316,32,-10.6
34600,-0.10764173450300481,317,32,-10.7
34700,-0.10764173450300481,317,31,-10.7
34800,-0.10616854853868479,318,31,-10.7
34900,-0.10616854853868479,318,31,-10.7
35000,-0.10505448344725092,319,31,-10.7
35100,-0.10505448344725092,319,31,-10.7
35200,-0.10276156907526618,320,31,-10.6
35300,-0.10276156907526618,320,30,-10.6
35400,-0.10349510963671751,322,30,-10.5
35500,-0.10349510963671751,322,30,-10.5
35600,-0.10296515299191515,323,30,-10.4
35700,-0.10100521747233465,324,30,-10.4
35800,-0.10100521747233465,324,29,-10.4
35900,-0.1013226592512393,325,29,-10.4
36000,-0.1013226592512393,325,29,-10.4
36100,-0.10181043250240257,327,29,-10.2
36200,-0.10181043250240257,327,29,-10.2
36300,-0.1018763507259045,328,28,-10.3
36400,-0.1018763507259045,328,28,-10.3
36500,-0.10082835738524429,329,28,-10.2
36600,-0.09954624930840295,330,28,-10.2
36700,-0.09954624930840295,330,28,-10.2
36800,-0.09834812368351444,332,27,-10.1
36900,-0.09834812368351444,332,27,-10.1
37000,-0.09615507150452304,333,27,-10.1
37100,-0.0950335338663421,335,27,-10.0
37200,-0.0950335338663421,335,27,-10.0
37300,-0.09511950253014469,336,26,-10.0
37400,-0.09511950253014469,336,26,-10.0
37500,-0.09336770053215894,338,26,-10.0
37600,-0.09336770053215894,338,26,-10.0
37700,-0.09272148906268317,339,26,-9.9
37800,-0.09272148906268317,339,25,-9.9
37900,-0.09205874471807897,340,25,-9.7
38000,-0.09205874471807897,340,25,-9.7
38100,-0.09188079322810344,341,25,-9.7
38200,-0.09188079322810344,341,25,-9.7
38300,-0.09159339761288217,342,24,-9.6
38400,-0.0899730461701019,343,24,-9.6
38500,-0.0899730461701019,343,24,-9.6
38600,-0.08825900954082519,344,24,-9.5
38700,-0.08825900954082519,344,24,-9.5
38800,-0.08754317796045771,345,23,-9.5
38900,-0.08754317796045771,345,23,-9.5
39000,-0.08459447170183897,347,23,-9.4
39100,-0.08459447170183897,347,23,-9.4
39200,-0.08431321332394838,348,23,-9.4
39300,-0.08431321332394838,348,22,-9.4
39400,-0.08226545150499569,350,22,-9.2
39500,-0.08268546714685612,351,22,-9.1
39600,-0.08268546714685612,351,22,-9.1
39700,-0.08170982041314798,352,22,-9.0
39800,-0.08170982041314798,352,21,-9.0
39900,-0.0808442441627776,353,21,-8.9
40000,-0.0808442441627776,353,21,-8.9
40100,-0.08015409907796492,354,21,-8.8
40200,-0.08015409907796492,354,21,-8.8
40300,-0.07915651239114481,355,21,-8.8
40400,-0.07915651239114481,355,20,-8.8
40500,-0.07815097715666142,356,20,-8.7
40600,-0.07815097715666142,356,20,-8.7
40700,-0.07678164250189563,357,20,-8.7
40800,-0.07678164250189563,357,20,-8.7
40900,-0.07628090110932031,359,19,-8.6
41000,-0.07657399282910299,360,19,-8.6
41100,-0.07643365585437549,361,19,-8.6
41200,-0.07757693489979309,362,19,-8.6
41300,-0.07757693489979309,362,19,-8.6
41400,-0.07681778752688681,363,18,-8.4
41500,-0.0768523446827393,364,18,-8.4
41600,-0.07715428830123178,365,18,-8.4
41700,-0.07715428830123178,365,18,-8.4
41800,-0.0768200150472692,366,18,-8.3
41900,-0.0768200150472692,366,17,-8.3
42000,-0.0753103876850671,367,17,-8.3
42100,-0.07583110440929379,368,17,-8.2
42200,-0.07600536282177629,369,17,-8.2
42300,-0.07600536282177629,369,17,-8.2
42400,-0.07388548546415971,370,16,-8.1
42500,-0.07388548546415971,370,16,-8.1
42600,-0.07306706577295972,371,16,-8.1
42700,-0.07306706577295972,371,16,-8.1
42800,-0.07152905727756868,372,16,-8.1
42900,-0.07152905727756868,372,15,-8.1
43000,-0.07085171688451544,374,15,-7.8
43100,-0.07085171688451544,374,15,-7.8
43200,-0.06969884399655644,375,15,-7.7
43300,-0.06969884399655644,375,15,-7.7
43400,-0.06857453349978986,376,14,-7.5
43500,-0.06857453349978986,376,14,-7.5
43600,-0.06781754347052596,377,14,-7.3
43700,-0.06781754347052596,377,14,-7.3
43800,-0.06733312385444369,378,14,-7.2
43900,-0.06746843493502191,379,13,-7.2
44000,-0.06746843493502191,379,13,-7.2
44100,-0.06711924512550857,380,13,-7.1
44200,-0.06711924512550857,380,13,-7.1
44300,-0.0663978468397406,381,13,-7.0
44400,-0.06657094640595754,382,12,-6.9
44500,-0.06657094640595754,382,12,-6.9
44600,-0.06468114377304719,383,12,-6.9
44700,-0.06486686784717946,384,12,-6.8
44800,-0.06486686784717946,384,12,-6.8
44900,-0.06517100687240587,386,11,-6.8
45000,-0.06517100687240587,386,11,-6.8
45100,-0.06503174196485928,387,11,-6.7
45200,-0.0647673768260555,388,11,-6.6
45300,-0.06404461217376718,390,11,-6.7
45400,-0.06404461217376718,390,11,-6.7
45500,-0.06325731139020876,391,10,-6.6
45600,-0.06325731139020876,391,10,-6.6
45700,-0.0630771596875618,392,10,-6.6
45800,-0.06304373135532242,393,10,-6.6
45900,-0.06304373135532242,393,10,-6.6
46000,-0.06194336577961832,394,9,-6.5
46100,-0.06194336577961832,394,9,-6.5
46200,-0.061394347175051545,395,9,-6.5
46300,-0.061394347175051545,395,9,-6.5
46400,-0.06104301872732434,396,9,-6.5
46500,-0.059927895512148284,397,8,-6.4
46600,-0.059927895512148284,397,8,-6.4
46700,-0.0577555602787438,398,8,-6.4
46800,-0.0577555602787438,398,8,-6.4
46900,-0.05683583599336749,399,8,-6.3
47000,-0.05646395377903885,400,7,-6.2
47100,-0.05646395377903885,400,7,-6.2
47200,-0.05525503645964485,401,7,-6.1
47300,-0.05525503645964485,401,7,-6.1
47400,-0.05405206983812396,402,7,-6.0
47500,-0.05405206983812396,402,6,-6.0
47600,-0.05435106724173467,403,6,-6.0
47700,-0.05435106724173467,403,6,-6.0
47800,-0.0541582264533133,404,6,-5.9
47900,-0.0541582264533133,404,6,-5.9
48000,-0.05527076968124841,406,5,-5.9
48100,-0.05527076968124841,406,5,-5.9
48200,-0.05475285372448643,407,5,-5.8
48300,-0.05475285372448643,407,5,-5.8
48400,-0.054420140697164256,408,5,-5.7
48500,-0.05410996026147099,409,4,-5.7
48600,-0.05410996026147099,409,4,-5.7
48700,-0.05356151088089131,410,4,-5.6
48800,-0.05356151088089131,410,4,-5.6
48900,-0.05254700072397801,411,4,-5.5
49000,-0.05228302820949967,412,3,-5.4
49100,-0.05228302820949967,412,3,-5.4
49200,-0.05173215510584914,413,3,-5.3
49300,-0.052818244962010194,414,3,-5.3
49400,-0.05289231075161201,415,3,-5.3
49500,-0.05289231075161201,415,2,-5.3
49600,-0.051683948506127224,416,2,-5.2
49700,-0.051683948506127224,416,2,-5.2
49800,-0.05094768510988075,417,2,-5.1
49900,-0.05094768510988075,417,2,-5.1
50000,-0.050901557432861025,418,2,-5.0
50100,-0.050901557432861025,418,2,-5.0
50200,-0.05030558495167771,419,2,-4.9
50300,-0.05030558495167771,419,2,-4.9
50400,-0.05070644958838928,420,2,-5.0
50500,-0.05070644958838928,420,2,-5.0
50600,-0.05056112074605684,421,2,-5.0
50700,-0.05056112074605684,421,2,-5.0
50800,-0.048460993397996824,422,2,-4.9
50900,-0.048460993397996824,422,2,-4.9
51000,-0.048428139752924426,423,2,-4.9
51100,-0.04898193728306755,424,2,-4.9
51200,-0.04901234974031144,425,2,-4.8
51300,-0.04901234974031144,425,2,-4.8
51400,-0.04871468696284272,426,2,-4.8
51500,-0.04871468696284272,426,2,-4.8
51600,-0.04725977574307901,428,2,-4.7
51700,-0.04873660921963575,429,2,-4.7
51800,-0.04873660921963575,429,2,-4.7
51900,-0.04775110618701933,430,2,-4.7
52000,-0.04775110618701933,430,2,-4.7
52100,-0.04742670119575447,431,2,-4.6
52200,-0.04742670119575447,431,2,-4.6
52300,-0.0462617110391039,432,2,-4.6
52400,-0.0462617110391039,432,2,-4.6
52500,-0.04577497509215129,433,2,-4.5
52600,-0.045013713729314765,434,2,-4.4
52700,-0.045203070979749654,435,2,-4.5
52800,-0.045203070979749654,435,2,-4.5
52900,-0.04439576532583904,436,2,-4.4
53000,-0.04439576532583904,436,2,-4.4
53100,-0.0442454214994099,437,2,-4.3
53200,-0.0442454214994099,437,2,-4.3
53300,-0.043137845002265814,438,2,-4.2
53400,-0.043186979098376765,439,2,-4.2
53500,-0.043186979098376765,439,2,-4.2
53600,-0.043191664484137186,440,2,-4.2
53700,-0.04359088676120925,441,2,-4.2
53800,-0.04359088676120925,441,2,-4.2
53900,-0.04328980250661016,442,2,-4.2
54000,-0.04328980250661016,442,2,-4.2
54100,-0.0425538368551397,443,2,-4.1
54200,-0.0425538368551397,443,2,-4.1
54300,-0.04230896178228055,444,2,-4.1
54400,-0.04230896178228055,444,2,-4.1
54500,-0.04198989082339568,445,2,-4.0
54600,-0.04198989082339568,445,2,-4.0
54700,-0.04178554912389927,446,2,-4.0
54800,-0.043596071681157686,448,2,-4.0
54900,-0.043596071681157686,448,2,-4.0
55000,-0.0432030263066264,449,2,-4.0
55100,-0.04337925670178669,450,2,-4.0
55200,-0.04243858462603466,451,2,-4.0
55300,-0.04243858462603466,451,2,-4.0
55400,-0.04228764551988454,452,2,-3.9
55500,-0.04228764551988454,452,2,-3.9
55600,-0.04212536385982561,453,2,-3.9
55700,-0.04212536385982561,453,2,-3.9
55800,-0.042257892123726826,454,2,-3.9
55900,-0.042257892123726826,454,2,-3.9
56000,-0.04180723320469035,455,2,-3.8
56100,-0.04180723320469035,455,2,-3.8
56200,-0.04161180908649466,456,2,-3.8
56300,-0.04161180908649466,456,2,-3.8
56400,-0.041454305201648306,457,2,-3.8
56500,-0.041454305201648306,457,2,-3.8
56600,-0.04134218058284285,458,2,-3.8
56700,-0.04134218058284285,458,2,-3.8
56800,-0.04004084517064656,460,2,-3.7
56900,-0.04102775983093752,461,2,-3.7
57000,-0.04102775983093752,461,2,-3.7
57100,-0.03943065396969592,462,2,-3.6
57200,-0.03943065396969592,462,2,-3.6
57300,-0.039260733749236575,463,2,-3.6
57400,-0.039260733749236575,463,2,-3.6
57500,-0.03869085799871306,464,2,-3.5
57600,-0.03869085799871306,464,2,-3.5
57700,-0.03810492173560932,465,2,-3.4
57800,-0.03810492173560932,465,2,-3.4
57900,-0.03794081022537139,466,2,-3.4
58000,-0.03794081022537139,466,2,-3.4
58100,-0.037709798697836715,467,2,-3.4
58200,-0.037709798697836715,467,2,-3.4
58300,-0.03679149980376196,468,2,-3.3
58400,-0.03679149980376196,468,2,-3.3
58500,-0.035981670491202385,469,2,-3.2
58600,-0.035981670491202385,469,2,-3.2
58700,-0.03583436650643876,470,2,-3.2
58800,-0.03583436650643876,470,2,-3.2
58900,-0.0366410431613319,472,2,-3.1
59000,-0.0366410431613319,472,2,-3.1
59100,-0.0365756548244738,473,2,-3.1
59200,-0.0365756548244738,473,2,-3.1
59300,-0.03558370231676169,474,2,-3.1
59400,-0.03600452142921327,475,2,-3.1
59500,-0.03684037416605258,476,2,-3.2
59600,-0.03684037416605258,476,2,-3.2
59700,-0.03686121507255935,477,2,-3.2
59800,-0.03741426994839879,478,2,-3.3
59900,-0.03741426994839879,478,2,-3.3
60000,-0.0365940329324739,479,2,-3.2
60100,-0.0365940329324739,479,2,-3.2
60200,-0.03611257986743974,480,2,-3.1
60300,-0.03611257986743974,480,2,-3.1
60400,-0.03634051828716165,481,2,-3.2
60500,-0.03634051828716165,481,2,-3.2
60600,-0.03491924426856479,482,2,-3.1
60700,-0.03491924426856479,482,2,-3.1
60800,-0.03475911259964656,483,2,-3.1
60900,-0.03469036997476969,484,2,-3.1
61000,-0.035729140957615875,485,2,-3.1
61100,-0.035729140957615875,485,2,-3.1
61200,-0.03475557332303079,486,2,-3.0
61300,-0.03595451819448749,488,2,-3.0
61400,-0.03595451819448749,488,2,-3.0
61500,-0.03535276701204664,489,2,-3.0
61600,-0.03535276701204664,489,2,-3.0
61700,-0.03425010838505676,490,2,-2.8
61800,-0.035038570561246235,491,2,-2.9
61900,-0.033672704984047744,492,2,-2.6
62000,-0.033672704984047744,492,2,-2.6
62100,-0.03095719307132281,493,2,-2.2
62200,-0.030891194850400653,494,2,-2.2
62300,-0.030891194850400653,494,2,-2.2
62400,-0.030665502408379345,495,2,-2.2
62500,-0.029945545109135448,496,2,-2.0
62600,-0.029989091581286386,497,2,-2.0
62700,-0.028629114478745176,498,2,-1.9
62800,-0.028874301190481847,499,2,-1.9
62900,-0.028874301190481847,499,2,-1.9
63000,-0.027877283215693698,500,2,-1.7
63100,-0.028382943592873144,501,2,-1.7
